date,year,feature,horizon,label,family,expected_sign,spearman_ic,pearson_ic,candidate_rows,valid_feature_rows,valid_label_rows,valid_paired_rows,paired_coverage
2024-03-01,2024,di_10,30s,ret_fwd_30s,state,positive,0.161342750534,0.141640198267,863986,863936,863588,863588,0.999539344388
2024-03-01,2024,di_5,30s,ret_fwd_30s,state,positive,0.161283228573,0.141594586905,863986,863936,863588,863588,0.999539344388
2024-03-01,2024,microprice_deviation_bps,30s,ret_fwd_30s,state,positive,0.160113089748,0.0132750340365,863986,863936,863588,863588,0.999539344388
2024-03-01,2024,ofi_30s,30s,ret_fwd_30s,matched_flow,positive,0.1055447435,0.0901185396588,863986,863986,863588,863588,0.999539344388
2024-03-01,2024,qi_1,30s,ret_fwd_30s,state,positive,0.160304784662,0.140680270773,863986,863936,863588,863588,0.999539344388
2024-03-01,2024,trade_imbalance_30s,30s,ret_fwd_30s,matched_flow,positive,0.0613488338515,0.053261816429,863986,863986,863588,863588,0.999539344388
2024-03-01,2024,di_10,500ms,ret_fwd_500ms,state,positive,0.414834882391,0.273106413342,863986,863936,863921,863921,0.999924767299
2024-03-01,2024,di_5,500ms,ret_fwd_500ms,state,positive,0.425913129423,0.278462036244,863986,863936,863921,863921,0.999924767299
2024-03-01,2024,microprice_deviation_bps,500ms,ret_fwd_500ms,state,positive,0.432329550237,0.0699276593815,863986,863936,863921,863921,0.999924767299
2024-03-01,2024,ofi_500ms,500ms,ret_fwd_500ms,matched_flow,positive,0.336633365663,0.217197047781,863986,863986,863921,863921,0.999924767299
2024-03-01,2024,qi_1,500ms,ret_fwd_500ms,state,positive,0.431814539836,0.276906502194,863986,863936,863921,863921,0.999924767299
2024-03-01,2024,trade_imbalance_500ms,500ms,ret_fwd_500ms,matched_flow,positive,0.173405402272,0.140693160814,863986,792464,863921,792400,0.917144490767
2024-03-01,2024,di_10,5s,ret_fwd_5s,state,positive,0.338112019047,0.265668645357,863986,863936,863838,863838,0.999828700928
2024-03-01,2024,di_5,5s,ret_fwd_5s,state,positive,0.345341273912,0.269882593612,863986,863936,863838,863838,0.999828700928
2024-03-01,2024,microprice_deviation_bps,5s,ret_fwd_5s,state,positive,0.346646185497,0.0195497903976,863986,863936,863838,863838,0.999828700928
2024-03-01,2024,ofi_5s,5s,ret_fwd_5s,matched_flow,positive,0.208869453921,0.141423199296,863986,863986,863838,863838,0.999828700928
2024-03-01,2024,qi_1,5s,ret_fwd_5s,state,positive,0.347125219637,0.269983471744,863986,863936,863838,863838,0.999828700928
2024-03-01,2024,trade_imbalance_5s,5s,ret_fwd_5s,matched_flow,positive,0.153214693912,0.11668544661,863986,863986,863838,863838,0.999828700928
2024-04-01,2024,di_10,100ms,ret_fwd_100ms,state,positive,0.29040558372,0.189966850223,863952,863939,863936,863936,0.999981480453
2024-04-01,2024,di_5,100ms,ret_fwd_100ms,state,positive,0.298090049049,0.193157349304,863952,863939,863936,863936,0.999981480453
