date,feature,horizon,bucket,p_up,p_flat,p_down,count,p_up_minus_down
2024-01-01,di_5,30s,10,0.580815508795,0.203159199083,0.216025292122,86351,0.364790216674
2024-01-01,microprice_deviation_bps,30s,1,0.249045072574,0.193149987268,0.557804940158,86394,-0.308759867583
2024-01-01,microprice_deviation_bps,30s,2,0.274525920952,0.228981916692,0.496492162356,86378,-0.221966241404
2024-01-01,microprice_deviation_bps,30s,3,0.281654105743,0.26468238808,0.453663506176,86379,-0.172009400433
2024-01-01,microprice_deviation_bps,30s,4,0.309131104089,0.306885655752,0.383983240159,86397,-0.0748521360695
2024-01-01,microprice_deviation_bps,30s,5,0.317989258762,0.320674568267,0.361336172971,86396,-0.043346914209
2024-01-01,microprice_deviation_bps,30s,6,0.370876034972,0.335255630826,0.293868334202,86355,0.0770077007701
2024-01-01,microprice_deviation_bps,30s,7,0.397445547077,0.347444968098,0.255109484825,86359,0.142336062252
2024-01-01,microprice_deviation_bps,30s,8,0.425541030302,0.320519203826,0.253939765872,86363,0.17160126443
2024-01-01,microprice_deviation_bps,30s,9,0.494117237942,0.266225411214,0.239657350844,86269,0.254459887097
2024-01-01,microprice_deviation_bps,30s,10,0.587260984305,0.201930644937,0.210808370758,86396,0.376452613547
2024-01-01,ofi_30s,30s,1,0.314529103346,0.193567055174,0.49190384148,86399,-0.177374738134
2024-01-01,ofi_30s,30s,2,0.356161529647,0.218544196113,0.425294274239,86399,-0.069132744592
2024-01-01,ofi_30s,30s,3,0.34728813167,0.243674622098,0.409037246233,86398,-0.0617491145628
2024-01-01,ofi_30s,30s,4,0.32793203625,0.294389981366,0.377677982384,86399,-0.0497459461336
2024-01-01,ofi_30s,30s,5,0.295203592676,0.383029699762,0.321766707563,86398,-0.0265631148869
2024-01-01,ofi_30s,30s,6,0.346275395034,0.380008103259,0.273716501707,86385,0.0725588933264
2024-01-01,ofi_30s,30s,7,0.382979955973,0.329255011007,0.287765033021,86310,0.0952149229521
2024-01-01,ofi_30s,30s,8,0.408066085828,0.287040040782,0.30489387339,86312,0.103172212439
2024-01-01,ofi_30s,30s,9,0.425447339143,0.252769794178,0.321782866679,86288,0.103664472464
2024-01-01,ofi_30s,30s,10,0.50364591773,0.203476932336,0.292877149934,86398,0.210768767796
2024-01-01,qi_1,30s,1,0.250338592612,0.190005440633,0.559655966754,86387,-0.309317374142
2024-01-01,qi_1,30s,2,0.275045727119,0.227952582714,0.497001690167,86382,-0.221955963048
2024-01-01,qi_1,30s,3,0.280208839805,0.267393669978,0.452397490218,86382,-0.172188650413
2024-01-01,qi_1,30s,4,0.308552380291,0.30829774182,0.383149877889,86397,-0.0745974975983
2024-01-01,qi_1,30s,5,0.318197601741,0.320755590537,0.361046807723,86396,-0.0428492059818
2024-01-01,qi_1,30s,6,0.369231660008,0.336459961786,0.294308378206,86355,0.0749232818019
2024-01-01,qi_1,30s,7,0.399782324267,0.348084337768,0.252133337965,86367,0.147648986303
2024-01-01,qi_1,30s,8,0.423279565535,0.322815224817,0.253905209648,86359,0.169374355886
2024-01-01,qi_1,30s,9,0.495793450298,0.265395044847,0.238811504855,86294,0.256981945442
2024-01-01,qi_1,30s,10,0.587191867264,0.198559635046,0.21424849769,86367,0.372943369574
2024-01-01,trade_imbalance_30s,30s,1,0.294193219829,0.294667762358,0.411139017813,86399,-0.116945797984
2024-01-01,trade_imbalance_30s,30s,2,0.340246993599,0.276947649857,0.382805356543,86399,-0.042558362944
2024-01-01,trade_imbalance_30s,30s,3,0.323155628603,0.282217180953,0.394627190444,86398,-0.0714715618417
2024-01-01,trade_imbalance_30s,30s,4,0.367654718226,0.246623224806,0.385722056968,86399,-0.0180673387423
2024-01-01,trade_imbalance_30s,30s,5,0.383522101529,0.252790948401,0.36368695007,86261,0.0198351514589
2024-01-01,trade_imbalance_30s,30s,6,0.366872544816,0.251607819507,0.381519635677,86297,-0.0146470908606
2024-01-01,trade_imbalance_30s,30s,7,0.376856213614,0.276808759361,0.346335027026,86399,0.0305211865878
2024-01-01,trade_imbalance_30s,30s,8,0.407393689669,0.285967267761,0.30663904257,86398,0.100754647098
2024-01-01,trade_imbalance_30s,30s,9,0.420973383678,0.295455071927,0.283571544395,86338,0.137401839283
2024-01-01,trade_imbalance_30s,30s,10,0.426595523045,0.322565337161,0.250839139795,86398,0.17575638325
2024-01-01,di_10,500ms,1,0.00244215789535,0.884524126437,0.113033715668,86399,-0.110591557773
2024-01-01,di_10,500ms,2,0.0031597587935,0.954536510839,0.0423037303672,86399,-0.0391439715737
