date,feature,feature_group,bucket,p_up,p_down,count,p_up_minus_down,p_flat
2024-03-01,qi_1,primary,2,0.269746419347,0.730253580653,85180,-0.460507161305,
2024-03-01,qi_1,primary,3,0.34023911869,0.65976088131,85146,-0.31952176262,
2024-03-01,qi_1,primary,4,0.396580091668,0.603419908332,85090,-0.206839816665,
2024-03-01,qi_1,primary,5,0.464104294696,0.535895705304,84453,-0.0717914106071,
2024-03-01,qi_1,primary,6,0.516571415049,0.483428584951,84513,0.0331428300971,
2024-03-01,qi_1,primary,7,0.596272337003,0.403727662997,84557,0.192544674007,
2024-03-01,qi_1,primary,8,0.654364664261,0.345635335739,85081,0.308729328522,
2024-03-01,qi_1,primary,9,0.738425464564,0.261574535436,85295,0.476850929128,
2024-03-01,qi_1,primary,10,0.870426068073,0.129573931927,86113,0.740852136147,
2024-03-01,di_10,secondary,1,0.159187090173,0.840812909827,86012,-0.681625819653,
2024-03-01,di_10,secondary,2,0.267326384411,0.732673615589,85289,-0.465347231179,
2024-03-01,di_10,secondary,3,0.335764705882,0.664235294118,85000,-0.328470588235,
2024-03-01,di_10,secondary,4,0.405765463857,0.594234536143,84746,-0.188469072287,
2024-03-01,di_10,secondary,5,0.46221235699,0.53778764301,84697,-0.0755752860196,
2024-03-01,di_10,secondary,6,0.514613729339,0.485386270661,84578,0.0292274586772,
2024-03-01,di_10,secondary,7,0.593935538592,0.406064461408,84888,0.187871077184,
2024-03-01,di_10,secondary,8,0.660127184888,0.339872815112,85073,0.320254369777,
2024-03-01,di_10,secondary,9,0.732786673402,0.267213326598,85123,0.465573346804,
2024-03-01,di_10,secondary,10,0.856087274755,0.143912725245,86073,0.71217454951,
2024-03-01,di_5,secondary,1,0.148327306131,0.851672693869,85999,-0.703345387737,
2024-03-01,di_5,secondary,2,0.262423887588,0.737576112412,85400,-0.475152224824,
2024-03-01,di_5,secondary,3,0.343372430913,0.656627569087,85001,-0.313255138175,
2024-03-01,di_5,secondary,4,0.403249404158,0.596750595842,84754,-0.193501191684,
2024-03-01,di_5,secondary,5,0.46228420282,0.53771579718,84686,-0.0754315943603,
