date,median_spread_bps,p95_spread_bps,minimum_spread_bps,fraction_at_minimum_spread,distinct_spread_values,horizon,group,qi_1_spearman_ic,count
2025-03-01,0.00117475468626,0.00118688748075,0.00115529478242,2.31488179635e-05,35162,30s,minimum_spread,-0.644767460377,20
2025-03-01,0.00117475468626,0.00118688748075,0.00115529478242,2.31488179635e-05,35162,30s,wider_spread,0.168067094268,863955
2025-04-01,0.00118979637765,0.00120986097185,0.0011687977063,2.31483624848e-06,35372,100ms,minimum_spread,-1,2
2025-04-01,0.00118979637765,0.00120986097185,0.0011687977063,2.31483624848e-06,35372,100ms,wider_spread,0.321256570928,863990
2025-04-01,0.00118979637765,0.00120986097185,0.0011687977063,2.31483624848e-06,35372,500ms,minimum_spread,,2
2025-04-01,0.00118979637765,0.00120986097185,0.0011687977063,2.31483624848e-06,35372,500ms,wider_spread,0.455135515286,863990
2025-04-01,0.00118979637765,0.00120986097185,0.0011687977063,2.31483624848e-06,35372,1s,minimum_spread,,2
2025-04-01,0.00118979637765,0.00120986097185,0.0011687977063,2.31483624848e-06,35372,1s,wider_spread,0.482074252686,863990
2025-04-01,0.00118979637765,0.00120986097185,0.0011687977063,2.31483624848e-06,35372,5s,minimum_spread,,2
2025-04-01,0.00118979637765,0.00120986097185,0.0011687977063,2.31483624848e-06,35372,5s,wider_spread,0.40604267567,863990
2025-04-01,0.00118979637765,0.00120986097185,0.0011687977063,2.31483624848e-06,35372,30s,minimum_spread,,2
2025-04-01,0.00118979637765,0.00120986097185,0.0011687977063,2.31483624848e-06,35372,30s,wider_spread,0.179204087241,863990
2025-05-01,0.00103984460978,0.00105785185515,0.00102646604114,4.62967785544e-06,16931,100ms,minimum_spread,0.774596669241,4
2025-05-01,0.00103984460978,0.00105785185515,0.00102646604114,4.62967785544e-06,16931,100ms,wider_spread,0.216509154597,863987
2025-05-01,0.00103984460978,0.00105785185515,0.00102646604114,4.62967785544e-06,16931,500ms,minimum_spread,0.774596669241,4
2025-05-01,0.00103984460978,0.00105785185515,0.00102646604114,4.62967785544e-06,16931,500ms,wider_spread,0.316789743534,863987
2025-05-01,0.00103984460978,0.00105785185515,0.00102646604114,4.62967785544e-06,16931,1s,minimum_spread,0.774596669241,4
2025-05-01,0.00103984460978,0.00105785185515,0.00102646604114,4.62967785544e-06,16931,1s,wider_spread,0.358231931086,863987
2025-05-01,0.00103984460978,0.00105785185515,0.00102646604114,4.62967785544e-06,16931,5s,minimum_spread,,4
2025-05-01,0.00103984460978,0.00105785185515,0.00102646604114,4.62967785544e-06,16931,5s,wider_spread,0.375590563254,863987
2025-05-01,0.00103984460978,0.00105785185515,0.00102646604114,4.62967785544e-06,16931,30s,minimum_spread,,4
2025-05-01,0.00103984460978,0.00105785185515,0.00102646604114,4.62967785544e-06,16931,30s,wider_spread,0.223693343549,863987
2025-06-01,0.00095723527479,0.00096241976968,0.000944582256372,1.62038537394e-05,10733,100ms,minimum_spread,0.103203137423,14
2025-06-01,0.00095723527479,0.00096241976968,0.000944582256372,1.62038537394e-05,10733,100ms,wider_spread,0.182083347989,863978
2025-06-01,0.00095723527479,0.00096241976968,0.000944582256372,1.62038537394e-05,10733,500ms,minimum_spread,0.425270150439,14
2025-06-01,0.00095723527479,0.00096241976968,0.000944582256372,1.62038537394e-05,10733,500ms,wider_spread,0.289271861506,863978
2025-06-01,0.00095723527479,0.00096241976968,0.000944582256372,1.62038537394e-05,10733,1s,minimum_spread,0.784464540553,14
2025-06-01,0.00095723527479,0.00096241976968,0.000944582256372,1.62038537394e-05,10733,1s,wider_spread,0.339708713185,863978
2025-06-01,0.00095723527479,0.00096241976968,0.000944582256372,1.62038537394e-05,10733,5s,minimum_spread,,14
2025-06-01,0.00095723527479,0.00096241976968,0.000944582256372,1.62038537394e-05,10733,5s,wider_spread,0.403316211906,863978
2025-06-01,0.00095723527479,0.00096241976968,0.000944582256372,1.62038537394e-05,10733,30s,minimum_spread,,14
2025-06-01,0.00095723527479,0.00096241976968,0.000944582256372,1.62038537394e-05,10733,30s,wider_spread,0.280219149543,863978
2025-07-01,0.000938654207346,0.000947556760427,0.000929886597075,4.97708803311e-05,12674,100ms,minimum_spread,0.261224988606,43
2025-07-01,0.000938654207346,0.000947556760427,0.000929886597075,4.97708803311e-05,12674,100ms,wider_spread,0.195786736467,863916
2025-07-01,0.000938654207346,0.000947556760427,0.000929886597075,4.97708803311e-05,12674,500ms,minimum_spread,0.533692517718,43
2025-07-01,0.000938654207346,0.000947556760427,0.000929886597075,4.97708803311e-05,12674,500ms,wider_spread,0.317919412012,863916
2025-07-01,0.000938654207346,0.000947556760427,0.000929886597075,4.97708803311e-05,12674,1s,minimum_spread,0.565864681503,43
2025-07-01,0.000938654207346,0.000947556760427,0.000929886597075,4.97708803311e-05,12674,1s,wider_spread,0.37537529684,863916
2025-07-01,0.000938654207346,0.000947556760427,0.000929886597075,4.97708803311e-05,12674,5s,minimum_spread,0.0712201903656,43
2025-07-01,0.000938654207346,0.000947556760427,0.000929886597075,4.97708803311e-05,12674,5s,wider_spread,0.442830264307,863916
2025-07-01,0.000938654207346,0.000947556760427,0.000929886597075,4.97708803311e-05,12674,30s,minimum_spread,,43
2025-07-01,0.000938654207346,0.000947556760427,0.000929886597075,4.97708803311e-05,12674,30s,wider_spread,0.285628142849,863916
