date,horizon,bucket,row_type,fraction_ret_zero,unique_forward_return_values,fraction_unchanged_mid,p_return_gt_0,p_return_lt_0,count
2024-02-01,1s,4,qi_1_decile,0.886918678673,4334,0.886918678673,0.0333572536401,0.0797240676868,86398
2024-02-01,1s,5,qi_1_decile,0.887393226695,4355,0.887393226695,0.0468066390426,0.0658001342624,86398
2024-02-01,1s,6,qi_1_decile,0.888816870761,4322,0.888816870761,0.0618995810088,0.0492835482303,86398
2024-02-01,1s,7,qi_1_decile,0.884163985277,4366,0.884163985277,0.0829880321304,0.0328479825922,86398
2024-02-01,1s,8,qi_1_decile,0.860405356915,5340,0.860405356915,0.116305719213,0.0232889238711,86393
2024-02-01,1s,9,qi_1_decile,0.795351690452,7589,0.795351690452,0.187703276734,0.0169450328136,86397
2024-02-01,1s,10,qi_1_decile,0.567632011482,17313,0.567632011482,0.418871680904,0.013496307614,86394
2024-02-01,5s,,daily,0.466804023474,70342,0.466804023474,0.263428750014,0.269767226511,863930
2024-02-01,5s,1,qi_1_decile,0.250306720063,19398,0.250306720063,0.0874094307739,0.662283849163,86398
2024-02-01,5s,2,qi_1_decile,0.435530915067,11413,0.435530915067,0.112745665409,0.451723419524,86398
2024-02-01,5s,3,qi_1_decile,0.505810319683,9054,0.505810319683,0.145281140767,0.34890853955,86398
2024-02-01,5s,4,qi_1_decile,0.57070765527,7901,0.57070765527,0.160327785365,0.268964559365,86398
2024-02-01,5s,5,qi_1_decile,0.561459756013,7999,0.561459756013,0.192747517304,0.245792726683,86398
2024-02-01,5s,6,qi_1_decile,0.556203771226,7874,0.556203771226,0.229167390122,0.214628838652,86391
2024-02-01,5s,7,qi_1_decile,0.545512419844,8099,0.545512419844,0.283781281107,0.170706299049,86394
2024-02-01,5s,8,qi_1_decile,0.523308322912,8867,0.523308322912,0.334989115835,0.141702561252,86364
2024-02-01,5s,9,qi_1_decile,0.452191627024,10704,0.452191627024,0.436531361043,0.111277011933,86397
2024-02-01,5s,10,qi_1_decile,0.267032432808,18399,0.267032432808,0.651353103225,0.0816144639674,86394
2024-02-01,30s,,daily,0.0710923027047,74311,0.0710923027047,0.462027602816,0.466880094479,863680
2024-02-01,30s,1,qi_1_decile,0.0364823259798,20518,0.0364823259798,0.323190351629,0.640327322392,86398
2024-02-01,30s,2,qi_1_decile,0.0667839533323,13119,0.0667839533323,0.338364313989,0.594851732679,86398
2024-02-01,30s,3,qi_1_decile,0.0860340756517,11148,0.0860340756517,0.369554146025,0.544411778323,86396
2024-02-01,30s,4,qi_1_decile,0.0987834380896,10028,0.0987834380896,0.396951071292,0.504265490618,86391
2024-02-01,30s,5,qi_1_decile,0.0840297229103,10186,0.0840297229103,0.432336396676,0.483633880414,86398
2024-02-01,30s,6,qi_1_decile,0.0904932309581,9812,0.0904932309581,0.466710674125,0.442796094917,86349
2024-02-01,30s,7,qi_1_decile,0.0740405901921,10387,0.0740405901921,0.510808210763,0.415151199045,86277
2024-02-01,30s,8,qi_1_decile,0.0720716545195,11073,0.0720716545195,0.539297591046,0.388630754435,86303
2024-02-01,30s,9,qi_1_decile,0.0646012781328,12661,0.0646012781328,0.58606557377,0.349333148097,86376
2024-02-01,30s,10,qi_1_decile,0.0376183531264,19734,0.0376183531264,0.657186841679,0.305194805195,86394
2024-03-01,100ms,,daily,0.934681277368,55409,0.934681277368,0.0345061480462,0.0308125745862,863933
2024-03-01,100ms,1,qi_1_decile,0.798840197236,17136,0.798840197236,0.00195615436257,0.199203648402,86394
2024-03-01,100ms,2,qi_1_decile,0.952137325941,4126,0.952137325941,0.00209507714745,0.0457675969118,86393
2024-03-01,100ms,3,qi_1_decile,0.974997684971,2158,0.974997684971,0.00306741364941,0.0219349013798,86392
2024-03-01,100ms,4,qi_1_decile,0.981584156124,1592,0.981584156124,0.00472260484067,0.0136932390356,86393
2024-03-01,100ms,5,qi_1_decile,0.983378282963,1437,0.983378282963,0.00704918222541,0.00957253481185,86393
2024-03-01,100ms,6,qi_1_decile,0.983552098525,1421,0.983552098525,0.00994282010325,0.00650508137139,86394
2024-03-01,100ms,7,qi_1_decile,0.981514920018,1598,0.981514920018,0.0144454476005,0.00403963238188,86394
2024-03-01,100ms,8,qi_1_decile,0.973215422546,2311,0.973215422546,0.023809799405,0.00297477804915,86393
2024-03-01,100ms,9,qi_1_decile,0.943966016159,4826,0.943966016159,0.0539620807,0.00207190314142,86394
2024-03-01,100ms,10,qi_1_decile,0.773627492968,19159,0.773627492968,0.224011204611,0.00236130242033,86393
2024-03-01,500ms,,daily,0.813183149848,82507,0.813183149848,0.097165134312,0.0896517158398,863921
2024-03-01,500ms,1,qi_1_decile,0.589878926777,21686,0.589878926777,0.0106373127764,0.399483760446,86394
2024-03-01,500ms,2,qi_1_decile,0.822245887787,9210,0.822245887787,0.013786477445,0.163967634768,86389
2024-03-01,500ms,3,qi_1_decile,0.875260452841,6595,0.875260452841,0.0212298004352,0.103509746724,86388
2024-03-01,500ms,4,qi_1_decile,0.89833196356,5548,0.89833196356,0.0318906342243,0.0697774022156,86389
2024-03-01,500ms,5,qi_1_decile,0.907480930168,5142,0.907480930168,0.0429548690287,0.0495642008033,86393
2024-03-01,500ms,6,qi_1_decile,0.908500590319,5085,0.908500590319,0.0536727087529,0.0378267009283,86394
2024-03-01,500ms,7,qi_1_decile,0.898083200222,5516,0.898083200222,0.0748315855268,0.027085214251,86394
2024-03-01,500ms,8,qi_1_decile,0.871540518329,6869,0.871540518329,0.108805111525,0.0196543701457,86393
2024-03-01,500ms,9,qi_1_decile,0.801895964998,10618,0.801895964998,0.183334490821,0.0147695441813,86394
2024-03-01,500ms,10,qi_1_decile,0.558621647587,24231,0.558621647587,0.43049784126,0.0108805111525,86393
2024-03-01,1s,,daily,0.705170469935,88953,0.705170469935,0.152257305772,0.142572224293,863906
2024-03-01,1s,1,qi_1_decile,0.463064564669,22655,0.463064564669,0.0252911081788,0.511644327152,86394
2024-03-01,1s,2,qi_1_decile,0.702224949065,11212,0.702224949065,0.0331079829598,0.264667067976,86384
2024-03-01,1s,3,qi_1_decile,0.765659909936,8776,0.765659909936,0.0511558987301,0.183184191334,86383
2024-03-01,1s,4,qi_1_decile,0.799881922578,7674,0.799881922578,0.0679292461567,0.132188831265,86384
2024-03-01,1s,5,qi_1_decile,0.816547636961,7213,0.816547636961,0.0870672392439,0.0963851237948,86393
2024-03-01,1s,6,qi_1_decile,0.824466976873,6977,0.824466976873,0.100944510035,0.0745885130912,86394
2024-03-01,1s,7,qi_1_decile,0.80281038035,7508,0.80281038035,0.138921684376,0.0582679352733,86394
2024-03-01,1s,8,qi_1_decile,0.764564258678,8991,0.764564258678,0.190385795145,0.0450499461762,86393
2024-03-01,1s,9,qi_1_decile,0.680325022571,12612,0.680325022571,0.285228140843,0.0344468365859,86394
2024-03-01,1s,10,qi_1_decile,0.432176217981,25165,0.432176217981,0.542509231072,0.0253145509474,86393
