date,fold_id,model,signal,count,mean_future_mid_return,median_future_mid_return,p_return_gt_0,p_return_lt_0,mean_signed_future_mid_return,median_signed_future_mid_return,positive_signed_fraction
2025-01-01,7,lightgbm_extended,LONG_MINUS_SHORT,11517,5.43070597097e-05,0,,,,,
2025-02-01,8,qi_direct_baseline,SHORT,9658,-2.16921897506e-05,0,0.00445226755022,0.345102505695,2.16921897506e-05,0,0.345102505695
2025-02-01,8,qi_direct_baseline,FLAT,63258,-8.8803092042e-07,0,0.0373075342249,0.0431249802397,0,0,0
2025-02-01,8,qi_direct_baseline,LONG,13483,1.83929232921e-05,0,0.323963509605,0.004524215679,1.83929232921e-05,0,0.323963509605
2025-02-01,8,qi_direct_baseline,LONG_MINUS_SHORT,23141,4.00851130426e-05,0,,,,,
2025-02-01,8,lightgbm_qi_ofi,SHORT,6844,-2.52928541866e-05,0,0.00672121566335,0.39552893045,2.52928541866e-05,0,0.39552893045
2025-02-01,8,lightgbm_qi_ofi,FLAT,70745,-6.04026584458e-07,0,0.0480175277405,0.0473814403845,0,0,0
2025-02-01,8,lightgbm_qi_ofi,LONG,8810,2.24914541365e-05,0,0.377752553916,0.00715096481271,2.24914541365e-05,0,0.377752553916
2025-02-01,8,lightgbm_qi_ofi,LONG_MINUS_SHORT,15654,4.7784308323e-05,0,,,,,
2025-02-01,8,lightgbm_extended,SHORT,5335,-2.90283774026e-05,0,0.00674789128397,0.464292408622,2.90283774026e-05,0,0.464292408622
2025-02-01,8,lightgbm_extended,FLAT,72903,-8.39532999166e-07,0,0.0463492586039,0.0491749310728,0,0,0
2025-02-01,8,lightgbm_extended,LONG,8161,2.43088376244e-05,0,0.411224114692,0.00735204019115,2.43088376244e-05,0,0.411224114692
2025-02-01,8,lightgbm_extended,LONG_MINUS_SHORT,13496,5.33372150271e-05,0,,,,,
2025-03-01,9,qi_direct_baseline,SHORT,8868,-4.32840379099e-05,-7.61035090849e-06,0.020297699594,0.543752819125,4.32840379099e-05,7.61035090849e-06,0.543752819125
2025-03-01,9,qi_direct_baseline,FLAT,63331,-1.28741003635e-06,0,0.0897664650803,0.0993668187775,0,0,0
2025-03-01,9,qi_direct_baseline,LONG,14197,3.4199641203e-05,0,0.487356483764,0.0179615411707,3.4199641203e-05,0,0.487356483764
2025-03-01,9,qi_direct_baseline,LONG_MINUS_SHORT,23065,7.74836791129e-05,7.61035090849e-06,,,,,
2025-03-01,9,lightgbm_qi_ofi,SHORT,8953,-4.28284803985e-05,-9.46024624205e-06,0.0251312409248,0.549089690607,4.28284803985e-05,9.46024624205e-06,0.549089690607
2025-03-01,9,lightgbm_qi_ofi,FLAT,64349,-8.94463922165e-07,0,0.0941739576373,0.0952462353727,0,0,0
2025-03-01,9,lightgbm_qi_ofi,LONG,13094,3.52190115242e-05,0,0.49633419887,0.0248205284863,3.52190115242e-05,0,0.49633419887
2025-03-01,9,lightgbm_qi_ofi,LONG_MINUS_SHORT,22047,7.80474919227e-05,9.46024624205e-06,,,,,
2025-03-01,9,lightgbm_extended,SHORT,7980,-4.75199031876e-05,-2.0997024557e-05,0.0274436090226,0.601378446115,4.75199031876e-05,2.0997024557e-05,0.601378446115
2025-03-01,9,lightgbm_extended,FLAT,66127,-9.15379830608e-07,0,0.0924130839143,0.094620956644,0,0,0
2025-03-01,9,lightgbm_extended,LONG,12289,3.74234390478e-05,9.4516333635e-07,0.525185124908,0.0255513060461,3.74234390478e-05,9.4516333635e-07,0.525185124908
2025-03-01,9,lightgbm_extended,LONG_MINUS_SHORT,20269,8.49433422354e-05,2.19421878934e-05,,,,,
2025-04-01,10,qi_direct_baseline,SHORT,11630,-3.40193032083e-05,0,0.0203783319003,0.457351676698,3.40193032083e-05,0,0.457351676698
2025-04-01,10,qi_direct_baseline,FLAT,63162,1.50786849213e-07,0,0.0933156011526,0.0927773028087,0,0,0
2025-04-01,10,qi_direct_baseline,LONG,11607,3.59423009374e-05,0,0.467045748255,0.0205048677522,3.59423009374e-05,0,0.467045748255
2025-04-01,10,qi_direct_baseline,LONG_MINUS_SHORT,23237,6.99616041457e-05,0,,,,,
2025-04-01,10,lightgbm_qi_ofi,SHORT,11740,-3.38978738654e-05,0,0.0320272572402,0.45800681431,3.38978738654e-05,0,0.45800681431
2025-04-01,10,lightgbm_qi_ofi,FLAT,63151,-7.14353001705e-08,0,0.0881379550601,0.0901331728714,0,0,0
2025-04-01,10,lightgbm_qi_ofi,LONG,11508,3.76724052364e-05,0,0.487486965589,0.0302398331595,3.76724052364e-05,0,0.487486965589
2025-04-01,10,lightgbm_qi_ofi,LONG_MINUS_SHORT,23248,7.15702791018e-05,0,,,,,
2025-04-01,10,lightgbm_extended,SHORT,11632,-3.5805473427e-05,0,0.0348177441541,0.47893741403,3.5805473427e-05,0,0.47893741403
2025-04-01,10,lightgbm_extended,FLAT,64144,3.47112179741e-07,0,0.0888781491644,0.0857913444749,0,0,0
2025-04-01,10,lightgbm_extended,LONG,10623,4.00344434608e-05,3.62748180093e-07,0.512661206815,0.0322884307634,4.00344434608e-05,3.62748180093e-07,0.512661206815
2025-04-01,10,lightgbm_extended,LONG_MINUS_SHORT,22255,7.58399168877e-05,3.62748180093e-07,,,,,
2025-05-01,11,qi_direct_baseline,SHORT,5127,-3.17807131538e-05,0,0.0130680709967,0.389506534035,3.17807131538e-05,0,0.389506534035
