date,fold_id,model,signal_side,average_run_length_anchors,median_run_length_anchors,p95_run_length_anchors,max_run_length_anchors,average_run_length_seconds,median_run_length_seconds,p95_run_length_seconds,max_run_length_seconds
2025-07-01,13,lightgbm_qi_ofi,LONG,1.53943028486,1,3.3,10,1.53943028486,1,3.3,10
2025-07-01,13,lightgbm_qi_ofi,SHORT,1.76359832636,1,4,32,1.76359832636,1,4,32
2025-07-01,13,lightgbm_extended,LONG,1.29205996669,1,3,7,1.29205996669,1,3,7
2025-07-01,13,lightgbm_extended,SHORT,1.33156028369,1,3,7,1.33156028369,1,3,7
2025-08-01,14,qi_direct_baseline,LONG,1.7263751763,1,4,27,1.7263751763,1,4,27
2025-08-01,14,qi_direct_baseline,SHORT,1.69911858974,1,4,26,1.69911858974,1,4,26
2025-08-01,14,lightgbm_qi_ofi,LONG,1.6485005767,1,4,11,1.6485005767,1,4,11
2025-08-01,14,lightgbm_qi_ofi,SHORT,1.60854845535,1,4,10,1.60854845535,1,4,10
2025-08-01,14,lightgbm_extended,LONG,1.28978815861,1,3,6,1.28978815861,1,3,6
2025-08-01,14,lightgbm_extended,SHORT,1.22901433168,1,2,7,1.22901433168,1,2,7
2025-09-01,15,qi_direct_baseline,LONG,2.30482405034,1,7,57,2.30482405034,1,7,57
2025-09-01,15,qi_direct_baseline,SHORT,2.65904977376,2,8,71,2.65904977376,2,8,71
2025-09-01,15,lightgbm_qi_ofi,LONG,1.62550107925,1,4,12,1.62550107925,1,4,12
2025-09-01,15,lightgbm_qi_ofi,SHORT,1.67645381984,1,4,11,1.67645381984,1,4,11
2025-09-01,15,lightgbm_extended,LONG,1.57425742574,1,3,12,1.57425742574,1,3,12
2025-09-01,15,lightgbm_extended,SHORT,1.6497271487,1,4,11,1.6497271487,1,4,11
2025-10-01,16,qi_direct_baseline,LONG,1.71912013536,1,4,41,1.71912013536,1,4,41
2025-10-01,16,qi_direct_baseline,SHORT,2.69585091421,1,9,80,2.69585091421,1,9,80
2025-10-01,16,lightgbm_qi_ofi,LONG,1.38992537313,1,3,9,1.38992537313,1,3,9
2025-10-01,16,lightgbm_qi_ofi,SHORT,1.56467458043,1,4,19,1.56467458043,1,4,19
2025-10-01,16,lightgbm_extended,LONG,1.30705394191,1,3,8,1.30705394191,1,3,8
2025-10-01,16,lightgbm_extended,SHORT,1.41820580475,1,3,10,1.41820580475,1,3,10
2025-11-01,17,qi_direct_baseline,LONG,4.35903983657,2,14,65,4.35903983657,2,14,65
2025-11-01,17,qi_direct_baseline,SHORT,5.75468975469,3,20,64,5.75468975469,3,20,64
2025-11-01,17,lightgbm_qi_ofi,LONG,1.88737717309,1,5,18,1.88737717309,1,5,18
2025-11-01,17,lightgbm_qi_ofi,SHORT,2.33825079031,1,7,36,2.33825079031,1,7,36
2025-11-01,17,lightgbm_extended,LONG,1.73622047244,1,4,14,1.73622047244,1,4,14
2025-11-01,17,lightgbm_extended,SHORT,1.88014184397,1,5,13,1.88014184397,1,5,13
2025-12-01,18,qi_direct_baseline,LONG,1.65577578198,1,4,21,1.65577578198,1,4,21
2025-12-01,18,qi_direct_baseline,SHORT,1.65570351356,1,4,24,1.65570351356,1,4,24
2025-12-01,18,lightgbm_qi_ofi,LONG,1.48935631019,1,3,15,1.48935631019,1,3,15
2025-12-01,18,lightgbm_qi_ofi,SHORT,1.52912560808,1,3,10,1.52912560808,1,3,10
2025-12-01,18,lightgbm_extended,LONG,1.46655561251,1,3,15,1.46655561251,1,3,15
2025-12-01,18,lightgbm_extended,SHORT,1.56986332317,1,4,12,1.56986332317,1,4,12
