date,model,latency_ms,terminal_position,terminal_notional_exposure,terminal_mark_shock_bps,terminal_equity_delta,shocked_terminal_equity
2025-01-01,lightgbm_qi_ofi,100,-1.9073219046189247,-180416.98352750385,-5.0,90.20849176375194,-2797.5023674404247
2025-01-01,lightgbm_qi_ofi,100,-1.9073219046189247,-180416.98352750385,0.0,-0.0,-2887.710859204177
2025-01-01,lightgbm_qi_ofi,100,-1.9073219046189247,-180416.98352750385,5.0,-90.20849176375194,-2977.919350967929
2025-01-01,lightgbm_qi_ofi,100,-1.9073219046189247,-180416.98352750385,10.0,-180.41698352750387,-3068.1278427316806
2025-01-01,qi_direct_baseline,0,-2.5742480186700436,-243502.71511871275,-10.0,243.50271511871276,-428.0901700642539
2025-01-01,qi_direct_baseline,0,-2.5742480186700436,-243502.71511871275,-5.0,121.75135755935638,-549.8415276236103
2025-01-01,qi_direct_baseline,0,-2.5742480186700436,-243502.71511871275,0.0,-0.0,-671.5928851829667
2025-01-01,qi_direct_baseline,0,-2.5742480186700436,-243502.71511871275,5.0,-121.75135755935638,-793.3442427423231
2025-01-01,qi_direct_baseline,0,-2.5742480186700436,-243502.71511871275,10.0,-243.50271511871276,-915.0956003016795
2025-01-01,qi_direct_baseline,100,-1.7919547049019016,-169504.19417581914,-10.0,169.50419417581915,749.6451847557274
2025-01-01,qi_direct_baseline,100,-1.7919547049019016,-169504.19417581914,-5.0,84.75209708790958,664.8930876678178
2025-01-01,qi_direct_baseline,100,-1.7919547049019016,-169504.19417581914,0.0,-0.0,580.1409905799082
2025-01-01,qi_direct_baseline,100,-1.7919547049019016,-169504.19417581914,5.0,-84.75209708790958,495.38889349199866
2025-01-01,qi_direct_baseline,100,-1.7919547049019016,-169504.19417581914,10.0,-169.50419417581915,410.63679640408907
2025-07-01,lightgbm_extended,0,2.5871867503422927,273416.8322331351,-10.0,-273.4168322331351,-1751.0317438257007
2025-07-01,lightgbm_extended,0,2.5871867503422927,273416.8322331351,-5.0,-136.70841611656755,-1614.323327709133
2025-07-01,lightgbm_extended,0,2.5871867503422927,273416.8322331351,0.0,0.0,-1477.6149115925655
2025-07-01,lightgbm_extended,0,2.5871867503422927,273416.8322331351,5.0,136.70841611656755,-1340.9064954759979
2025-07-01,lightgbm_extended,0,2.5871867503422927,273416.8322331351,10.0,273.4168322331351,-1204.1980793594303
2025-07-01,lightgbm_extended,100,3.79862891388252,401443.415062922,-10.0,-401.443415062922,-2777.1083606699376
2025-07-01,lightgbm_extended,100,3.79862891388252,401443.415062922,-5.0,-200.721707531461,-2576.3866531384765
2025-07-01,lightgbm_extended,100,3.79862891388252,401443.415062922,0.0,0.0,-2375.6649456070154
2025-07-01,lightgbm_extended,100,3.79862891388252,401443.415062922,5.0,200.721707531461,-2174.9432380755543
2025-07-01,lightgbm_extended,100,3.79862891388252,401443.415062922,10.0,401.443415062922,-1974.2215305440934
2025-07-01,lightgbm_qi_ofi,0,-1.1087532256470995,-117174.29932129658,-10.0,117.17429932129657,3148.598220971907
2025-07-01,lightgbm_qi_ofi,0,-1.1087532256470995,-117174.29932129658,-5.0,58.587149660648286,3090.0110713112585
2025-07-01,lightgbm_qi_ofi,0,-1.1087532256470995,-117174.29932129658,0.0,-0.0,3031.4239216506103
2025-07-01,lightgbm_qi_ofi,0,-1.1087532256470995,-117174.29932129658,5.0,-58.587149660648286,2972.836771989962
2025-07-01,lightgbm_qi_ofi,0,-1.1087532256470995,-117174.29932129658,10.0,-117.17429932129657,2914.2496223293138
2025-07-01,lightgbm_qi_ofi,100,-1.6008702985800671,-169181.79014173037,-10.0,169.18179014173035,3151.9704841406997
2025-07-01,lightgbm_qi_ofi,100,-1.6008702985800671,-169181.79014173037,-5.0,84.59089507086517,3067.3795890698348
2025-07-01,lightgbm_qi_ofi,100,-1.6008702985800671,-169181.79014173037,0.0,-0.0,2982.7886939989694
2025-07-01,lightgbm_qi_ofi,100,-1.6008702985800671,-169181.79014173037,5.0,-84.59089507086517,2898.197798928104
2025-07-01,lightgbm_qi_ofi,100,-1.6008702985800671,-169181.79014173037,10.0,-169.18179014173035,2813.606903857239
2025-07-01,qi_direct_baseline,0,1.2518573910917188,132297.70994871174,-10.0,-132.29770994871174,-296.57787736002604
2025-07-01,qi_direct_baseline,0,1.2518573910917188,132297.70994871174,-5.0,-66.14885497435587,-230.42902238567018
2025-07-01,qi_direct_baseline,0,1.2518573910917188,132297.70994871174,0.0,0.0,-164.28016741131432
2025-07-01,qi_direct_baseline,0,1.2518573910917188,132297.70994871174,5.0,66.14885497435587,-98.13131243695845
2025-07-01,qi_direct_baseline,0,1.2518573910917188,132297.70994871174,10.0,132.29770994871174,-31.982457462602582
2025-07-01,qi_direct_baseline,100,2.5822820847377037,272898.5016052467,-10.0,-272.8985016052467,-1346.255175796614
2025-07-01,qi_direct_baseline,100,2.5822820847377037,272898.5016052467,-5.0,-136.44925080262334,-1209.8059249939906
2025-07-01,qi_direct_baseline,100,2.5822820847377037,272898.5016052467,0.0,0.0,-1073.3566741913673
2025-07-01,qi_direct_baseline,100,2.5822820847377037,272898.5016052467,5.0,136.44925080262334,-936.9074233887441
2025-07-01,qi_direct_baseline,100,2.5822820847377037,272898.5016052467,10.0,272.8985016052467,-800.4581725861207
