date,model,mode,latency_ms,parent_orders,fills,filled_parent_orders,fill_rate,turnover,gross_pnl,gross_pnl_bps_of_turnover,terminal_position,terminal_notional_exposure,max_inventory,mean_implementation_shortfall,mean_levels_consumed,full_fills,partial_fills,expired_or_no_fill,mean_fill_fraction,maker_fill_count,taker_on_arrival_count,average_signed_markout_100ms,average_signed_markout_500ms,average_signed_markout_1000ms,average_signed_markout_5000ms,order_notional_usd
2025-01-01,lightgbm_extended,market,0,14389,73633,14389,1.0,500274967.2627815,86877.28854032233,1.7365907595909738,248.49084733789536,23505192.805854023,252.13079183036433,8.641665554234914e-06,5.117311835429843,8068,6321,0,,0,0,-3.0617287681949493e-06,7.411228507408397e-06,1.60182864852399e-05,4.7283571463600915e-05,50000.0
2025-01-01,lightgbm_qi_ofi,market,0,15712,28630,15712,1.0,15367161.218334867,573.6280150265811,0.3732817056296475,0.8714853665428135,82435.35642266402,0.8942470297447412,4.2368959999273965e-06,1.822174134419552,14894,818,0,,0,0,1.1682619889907159e-06,1.1482754585123496e-05,1.92205847552701e-05,4.1981017385425046e-05,1000.0
2025-01-01,lightgbm_qi_ofi,market,0,15712,48027,15712,1.0,138136681.6070594,15225.412189364899,1.1021990692287496,37.95307213164187,3590048.8391657593,38.33821036293264,6.898046520773364e-06,3.056708248472505,12556,3156,0,,0,0,-1.4126323323451327e-06,9.355687482183585e-06,1.783141715351796e-05,4.6580263794248745e-05,10000.0
2025-01-01,lightgbm_qi_ofi,market,0,15712,79981,15712,1.0,554226863.7491208,68229.55163247511,1.231076226997186,215.4962002548385,20384170.24282263,218.05544375062183,8.327038633042932e-06,5.090440427698574,8872,6840,0,,0,0,-4.1647416315807555e-06,5.523291707241542e-06,1.3836893358602627e-05,4.4527842017824845e-05,50000.0
2025-01-01,qi_direct_baseline,market,0,12359,23004,12359,1.0,12020442.355239052,685.0024485953618,0.5698645926260831,0.9322676501956049,88184.86112975786,0.9686846963069279,4.5133051196358576e-06,1.8613156404239826,11669,690,0,,0,0,2.2375987708752467e-06,1.3323964065907566e-05,2.1655214927186795e-05,4.907161764809932e-05,1000.0
2025-01-01,qi_direct_baseline,market,0,12359,42841,12359,1.0,106505106.42596371,18677.895135791507,1.753708884256673,39.60796511472601,3746588.120419663,39.92339950355469,7.056191762045232e-06,3.46638077514362,9415,2944,0,,0,0,-9.167618157191112e-07,1.0443629193437465e-05,1.937001918923951e-05,5.1688133726718023e-05,10000.0
2025-01-01,qi_direct_baseline,market,0,12359,68505,12359,1.0,390608437.5640008,119214.40713466704,3.0520182277202825,243.11278774906035,22996472.549509753,246.33971136274545,8.263428853960228e-06,5.542924184804596,6214,6145,0,,0,0,-3.59251952331616e-06,6.855440685770725e-06,1.5225098103160058e-05,4.8536345792555266e-05,50000.0
2025-07-01,lightgbm_extended,market,0,8075,16183,8075,1.0,7912623.159770429,148.47053766986573,0.1876375693268493,-0.07714138912340081,-8152.389558037652,0.1364491421624949,3.296689727748463e-06,2.0040866873065015,7485,590,0,,0,0,6.163273906027319e-06,1.859033887166841e-05,2.5794110611457064e-05,5.0040612696506644e-05,1000.0
2025-07-01,lightgbm_extended,market,0,8075,30162,8075,1.0,65694995.58474938,-10117.172352166614,-1.5400217721477771,10.058064416048698,1062947.6633911384,11.996623249430183,5.602364805288344e-06,3.735232198142415,5794,2281,0,,0,0,3.852203530607932e-06,1.8197636062835874e-05,2.7066921623779224e-05,6.045163492492259e-05,10000.0
2025-07-01,lightgbm_extended,market,0,8075,43260,8075,1.0,253857904.80742666,-154607.7955800481,-6.090328197474552,166.99791243359394,17648528.928612817,176.38043390249206,6.521423529364367e-06,5.357275541795666,4224,3851,0,,0,0,9.353199968155782e-07,1.4805227382332796e-05,2.3882256971630016e-05,5.960983749693472e-05,50000.0
2025-07-01,lightgbm_qi_ofi,market,0,14222,21115,14222,1.0,14142772.893764531,304.726936227853,0.21546477378718668,-0.1373923802125527,-14519.78268121411,0.19725070273224327,2.2019410685606455e-06,1.4846716354943046,13719,503,0,,0,0,4.1106871687539935e-06,1.3374513489890119e-05,1.9025656325078055e-05,3.6939492660477545e-05,1000.0
2025-07-01,lightgbm_qi_ofi,market,0,14222,36561,14222,1.0,128453465.52222216,-3753.3010590487393,-0.29219149859366206,1.2838997118832454,135683.97877799434,9.486153057449316,4.811920428802591e-06,2.5707354802418787,11950,2272,0,,0,0,2.080546706822236e-06,1.3447271947964939e-05,2.0794339679711074e-05,4.9145302165638076e-05,10000.0
2025-07-01,lightgbm_qi_ofi,market,0,14222,65521,14222,1.0,530613047.27878577,-113791.96481257491,-2.144537632388603,95.62414723783893,10105668.413501931,137.9422758472758,6.694454930858021e-06,4.607017297145268,8727,5495,0,,0,0,-1.9674607629257536e-06,8.836607774289594e-06,1.6619732118600503e-05,4.76300277971942e-05,50000.0
2025-07-01,qi_direct_baseline,market,0,10643,16203,10643,1.0,10557306.10449514,445.99569961969974,0.42245218165058374,-0.1754690227915968,-18543.765485956817,0.21230264013961475,2.4047794538635443e-06,1.5224090951799305,10249,394,0,,0,0,5.502693104529207e-06,1.679812714607169e-05,2.3296851213347562e-05,4.4700365222300525e-05,1000.0
2025-07-01,qi_direct_baseline,market,0,10643,27876,10643,1.0,95480953.46276195,4804.077346514969,0.5031450956748754,-3.666284171672516,-387457.0724948863,6.180917286959089,5.137213293739449e-06,2.619186319646716,8894,1749,0,,0,0,3.422965291079021e-06,1.6983400450897346e-05,2.5077121874630793e-05,5.5654558529367754e-05,10000.0
2025-07-01,qi_direct_baseline,market,0,10643,57450,10643,1.0,369368577.65288913,-64900.16663747374,-1.7570570580170766,68.19677534244273,7207112.621529361,88.10111715143731,7.149666249729356e-06,5.397914121958094,5600,5043,0,,0,0,-2.029528510314624e-06,9.472947599415822e-06,1.7432137618789054e-05,5.050791667536117e-05,50000.0
