date,model,mode,latency_ms,parent_orders,fills,filled_parent_orders,fill_rate,turnover,gross_pnl,gross_pnl_bps_of_turnover,terminal_position,terminal_notional_exposure,max_inventory,mean_implementation_shortfall,mean_levels_consumed,full_fills,partial_fills,expired_or_no_fill,mean_fill_fraction,maker_fill_count,taker_on_arrival_count,average_signed_markout_100ms,average_signed_markout_500ms,average_signed_markout_1000ms,average_signed_markout_5000ms,fee_bps,fee_quote,net_pnl,net_pnl_bps_of_turnover
2024-10-01,lightgbm_extended,market,0,25921,72795,25921,1.0,259912423.33918598,17156.80252928892,0.6600993638114511,-8.787754583064803,-534354.7520550028,9.338921944483387,1.2483012808443087e-05,2.808340727595386,23350,2571,0,,0,0,8.589665928630698e-08,2.2091835390825887e-05,3.671272823947748e-05,6.802281085435415e-05,0.0,0.0,17156.80252928892,0.6600993638114511
2024-10-01,lightgbm_extended,market,0,25921,72795,25921,1.0,259912423.33918598,17156.80252928892,0.6600993638114511,-8.787754583064803,-534354.7520550028,9.338921944483387,1.2483012808443087e-05,2.808340727595386,23350,2571,0,,0,0,8.589665928630698e-08,2.2091835390825887e-05,3.671272823947748e-05,6.802281085435415e-05,0.25,6497.81058347965,10658.991945809272,0.41009936381145107
2024-10-01,lightgbm_extended,market,0,25921,72795,25921,1.0,259912423.33918598,17156.80252928892,0.6600993638114511,-8.787754583064803,-534354.7520550028,9.338921944483387,1.2483012808443087e-05,2.808340727595386,23350,2571,0,,0,0,8.589665928630698e-08,2.2091835390825887e-05,3.671272823947748e-05,6.802281085435415e-05,0.5,12995.6211669593,4161.181362329622,0.16009936381145107
2024-10-01,lightgbm_extended,market,100,25921,67721,25921,1.0,261402182.3698621,15011.263814306585,0.5742593148310793,-4.4003584337777815,-267571.47319132497,7.643255611746785,2.2297412376134373e-05,2.612592106786004,23600,2321,0,,0,0,-2.0846627013304113e-06,1.9447573303850904e-05,3.3743837482531294e-05,6.158045655226137e-05,0.0,0.0,15011.263814306585,0.5742593148310793
2024-10-01,lightgbm_extended,market,100,25921,67721,25921,1.0,261402182.3698621,15011.263814306585,0.5742593148310793,-4.4003584337777815,-267571.47319132497,7.643255611746785,2.2297412376134373e-05,2.612592106786004,23600,2321,0,,0,0,-2.0846627013304113e-06,1.9447573303850904e-05,3.3743837482531294e-05,6.158045655226137e-05,0.25,6535.054559246552,8476.209255060032,0.3242593148310793
2024-10-01,lightgbm_extended,market,100,25921,67721,25921,1.0,261402182.3698621,15011.263814306585,0.5742593148310793,-4.4003584337777815,-267571.47319132497,7.643255611746785,2.2297412376134373e-05,2.612592106786004,23600,2321,0,,0,0,-2.0846627013304113e-06,1.9447573303850904e-05,3.3743837482531294e-05,6.158045655226137e-05,0.5,13070.109118493105,1941.1546958134804,0.07425931483107932
2024-10-01,lightgbm_qi_ofi,market,0,25291,71551,25291,1.0,248528008.37920108,12402.324967577122,0.4990312781428563,-4.335158121893196,-263606.8544526385,5.852728888644577,1.2407919383733453e-05,2.829109169269701,22773,2518,0,,0,0,-4.775054490142586e-07,2.0961864673738258e-05,3.602937707295894e-05,6.779847704873186e-05,0.0,0.0,12402.324967577122,0.4990312781428563
2024-10-01,lightgbm_qi_ofi,market,0,25291,71551,25291,1.0,248528008.37920108,12402.324967577122,0.4990312781428563,-4.335158121893196,-263606.8544526385,5.852728888644577,1.2407919383733453e-05,2.829109169269701,22773,2518,0,,0,0,-4.775054490142586e-07,2.0961864673738258e-05,3.602937707295894e-05,6.779847704873186e-05,0.25,6213.200209480027,6189.124758097095,0.2490312781428563
2024-10-01,lightgbm_qi_ofi,market,0,25291,71551,25291,1.0,248528008.37920108,12402.324967577122,0.4990312781428563,-4.335158121893196,-263606.8544526385,5.852728888644577,1.2407919383733453e-05,2.829109169269701,22773,2518,0,,0,0,-4.775054490142586e-07,2.0961864673738258e-05,3.602937707295894e-05,6.779847704873186e-05,0.5,12426.400418960055,-24.075451382932442,-0.0009687218571436989
2024-10-01,lightgbm_qi_ofi,market,100,25291,66007,25291,1.0,249782393.29160246,12855.255912406137,0.5146582088113223,-2.5560192999774696,-155423.2137888085,6.3321046926894375,2.1458365438262994e-05,2.609900755209363,23030,2261,0,,0,0,-2.3748775680497944e-06,1.8701858439959182e-05,3.245070247271482e-05,6.0333509709951004e-05,0.0,0.0,12855.255912406137,0.5146582088113223
2024-10-01,lightgbm_qi_ofi,market,100,25291,66007,25291,1.0,249782393.29160246,12855.255912406137,0.5146582088113223,-2.5560192999774696,-155423.2137888085,6.3321046926894375,2.1458365438262994e-05,2.609900755209363,23030,2261,0,,0,0,-2.3748775680497944e-06,1.8701858439959182e-05,3.245070247271482e-05,6.0333509709951004e-05,0.25,6244.559832290061,6610.696080116076,0.2646582088113223
2024-10-01,lightgbm_qi_ofi,market,100,25291,66007,25291,1.0,249782393.29160246,12855.255912406137,0.5146582088113223,-2.5560192999774696,-155423.2137888085,6.3321046926894375,2.1458365438262994e-05,2.609900755209363,23030,2261,0,,0,0,-2.3748775680497944e-06,1.8701858439959182e-05,3.245070247271482e-05,6.0333509709951004e-05,0.5,12489.119664580123,366.13624782601437,0.014658208811322316
2024-10-01,qi_direct_baseline,market,0,19670,67716,19670,1.0,189099708.62870592,2188.495434661447,0.11573235361025967,1.0193086555955642,61980.8414970923,5.6475611579503795,1.3918912220439467e-05,3.4426029486527705,17084,2586,0,,0,0,-1.6257638707904386e-07,2.41533176225946e-05,4.069149269506464e-05,7.431996373578186e-05,0.0,0.0,2188.495434661447,0.11573235361025967
2024-10-01,qi_direct_baseline,market,0,19670,67716,19670,1.0,189099708.62870592,2188.495434661447,0.11573235361025967,1.0193086555955642,61980.8414970923,5.6475611579503795,1.3918912220439467e-05,3.4426029486527705,17084,2586,0,,0,0,-1.6257638707904386e-07,2.41533176225946e-05,4.069149269506464e-05,7.431996373578186e-05,0.25,4727.492715717648,-2538.9972810562012,-0.1342676463897403
2024-10-01,qi_direct_baseline,market,0,19670,67716,19670,1.0,189099708.62870592,2188.495434661447,0.11573235361025967,1.0193086555955642,61980.8414970923,5.6475611579503795,1.3918912220439467e-05,3.4426029486527705,17084,2586,0,,0,0,-1.6257638707904386e-07,2.41533176225946e-05,4.069149269506464e-05,7.431996373578186e-05,0.5,9454.985431435296,-7266.489996773849,-0.3842676463897403
2024-10-01,qi_direct_baseline,market,100,19670,57813,19670,1.0,191764269.22152674,5708.367091228545,0.2976762623403122,2.4821027119765966,150928.58667096935,3.2779897464675494,2.292607721715847e-05,2.9391459074733097,17561,2109,0,,0,0,-2.6558021848419117e-06,2.0560891934921974e-05,3.5944423821827677e-05,6.647378404163855e-05,0.0,0.0,5708.367091228545,0.2976762623403122
2024-10-01,qi_direct_baseline,market,100,19670,57813,19670,1.0,191764269.22152674,5708.367091228545,0.2976762623403122,2.4821027119765966,150928.58667096935,3.2779897464675494,2.292607721715847e-05,2.9391459074733097,17561,2109,0,,0,0,-2.6558021848419117e-06,2.0560891934921974e-05,3.5944423821827677e-05,6.647378404163855e-05,0.25,4794.106730538168,914.2603606903767,0.047676262340312206
2024-10-01,qi_direct_baseline,market,100,19670,57813,19670,1.0,191764269.22152674,5708.367091228545,0.2976762623403122,2.4821027119765966,150928.58667096935,3.2779897464675494,2.292607721715847e-05,2.9391459074733097,17561,2109,0,,0,0,-2.6558021848419117e-06,2.0560891934921974e-05,3.5944423821827677e-05,6.647378404163855e-05,0.5,9588.213461076337,-3879.8463698477917,-0.2023237376596878
2025-01-01,lightgbm_extended,market,0,14389,45955,14389,1.0,125543627.33031267,16353.482724197209,1.3026135274210482,39.261044736975684,3713772.3026353857,39.646169177055114,7.136787681785725e-06,3.193759121551185,11306,3083,0,,0,0,-7.049328449116582e-07,1.0621985483392377e-05,1.9453461293108273e-05,4.9970328056547596e-05,0.0,0.0,16353.482724197209,1.3026135274210482
2025-01-01,lightgbm_extended,market,0,14389,45955,14389,1.0,125543627.33031267,16353.482724197209,1.3026135274210482,39.261044736975684,3713772.3026353857,39.646169177055114,7.136787681785725e-06,3.193759121551185,11306,3083,0,,0,0,-7.049328449116582e-07,1.0621985483392377e-05,1.9453461293108273e-05,4.9970328056547596e-05,0.25,3138.5906832578166,13214.892040939392,1.052613527421048
2025-01-01,lightgbm_extended,market,0,14389,45955,14389,1.0,125543627.33031267,16353.482724197209,1.3026135274210482,39.261044736975684,3713772.3026353857,39.646169177055114,7.136787681785725e-06,3.193759121551185,11306,3083,0,,0,0,-7.049328449116582e-07,1.0621985483392377e-05,1.9453461293108273e-05,4.9970328056547596e-05,0.5,6277.181366515633,10076.301357681576,0.8026135274210481
