model,feature_set,date,spearman_ic,row_count
ridge,qi_trade_imbalance,2025-10-01,0.394778881029,86398
ridge,qi_trade_imbalance,2025-11-01,0.360096822015,86398
ridge,qi_trade_imbalance,2025-12-01,0.434665098995,86399
lightgbm_regression,qi_trade_imbalance,2025-01-01,0.406475774694,86399
lightgbm_regression,qi_trade_imbalance,2025-02-01,0.448086212977,86399
lightgbm_regression,qi_trade_imbalance,2025-03-01,0.509461236193,86396
lightgbm_regression,qi_trade_imbalance,2025-04-01,0.483936973281,86399
lightgbm_regression,qi_trade_imbalance,2025-05-01,0.357060001515,86399
lightgbm_regression,qi_trade_imbalance,2025-06-01,0.336582456059,86399
lightgbm_regression,qi_trade_imbalance,2025-07-01,0.37100140462,86393
lightgbm_regression,qi_trade_imbalance,2025-08-01,0.485499621655,86399
lightgbm_regression,qi_trade_imbalance,2025-09-01,0.461789303891,86393
lightgbm_regression,qi_trade_imbalance,2025-10-01,0.399474167788,86398
lightgbm_regression,qi_trade_imbalance,2025-11-01,0.362925688817,86398
lightgbm_regression,qi_trade_imbalance,2025-12-01,0.439256365042,86399
ridge,core_independent_microstructure,2025-01-01,0.406124397898,86399
ridge,core_independent_microstructure,2025-02-01,0.44786684702,86399
ridge,core_independent_microstructure,2025-03-01,0.504958007089,86396
ridge,core_independent_microstructure,2025-04-01,0.474925982316,86399
ridge,core_independent_microstructure,2025-05-01,0.358597198009,86399
ridge,core_independent_microstructure,2025-06-01,0.341368369301,86399
ridge,core_independent_microstructure,2025-07-01,0.374809394048,86393
ridge,core_independent_microstructure,2025-08-01,0.477700126916,86399
ridge,core_independent_microstructure,2025-09-01,0.456977818857,86393
ridge,core_independent_microstructure,2025-10-01,0.398439460544,86398
ridge,core_independent_microstructure,2025-11-01,0.36477625347,86398
ridge,core_independent_microstructure,2025-12-01,0.426642764222,86399
lightgbm_regression,core_independent_microstructure,2025-01-01,0.410194912287,86399
lightgbm_regression,core_independent_microstructure,2025-02-01,0.451291350034,86399
lightgbm_regression,core_independent_microstructure,2025-03-01,0.511089921994,86396
lightgbm_regression,core_independent_microstructure,2025-04-01,0.487576273197,86399
lightgbm_regression,core_independent_microstructure,2025-05-01,0.366157626214,86399
lightgbm_regression,core_independent_microstructure,2025-06-01,0.345339006243,86399
lightgbm_regression,core_independent_microstructure,2025-07-01,0.381712309007,86393
lightgbm_regression,core_independent_microstructure,2025-08-01,0.490893876599,86399
lightgbm_regression,core_independent_microstructure,2025-09-01,0.468125279313,86393
lightgbm_regression,core_independent_microstructure,2025-10-01,0.407270821329,86398
