date,model,mode,latency_ms,terminal_mark_shock_bps,terminal_equity_delta,shocked_terminal_equity
2024-07-01,lightgbm_qi_ofi,passive,50,-10.0,-449.27057155831307,-3237.271560472304
2024-07-01,lightgbm_qi_ofi,passive,50,-5.0,-224.63528577915653,-3012.6362746931477
2024-07-01,lightgbm_qi_ofi,passive,50,0.0,0.0,-2788.000988913991
2024-07-01,lightgbm_qi_ofi,passive,50,5.0,224.63528577915653,-2563.3657031348343
2024-07-01,lightgbm_qi_ofi,passive,50,10.0,449.27057155831307,-2338.730417355678
2024-07-01,qi_direct_baseline,passive,0,-10.0,-122.2769570037534,-1158.189546904691
2024-07-01,qi_direct_baseline,passive,0,-5.0,-61.1384785018767,-1097.0510684028145
2024-07-01,qi_direct_baseline,passive,0,0.0,0.0,-1035.9125899009377
2024-07-01,qi_direct_baseline,passive,0,5.0,61.1384785018767,-974.7741113990611
2024-07-01,qi_direct_baseline,passive,0,10.0,122.2769570037534,-913.6356328971843
2024-07-01,qi_direct_baseline,passive,10,-10.0,-112.52977193353946,-1034.1839100583638
2024-07-01,qi_direct_baseline,passive,10,-5.0,-56.26488596676973,-977.9190240915941
2024-07-01,qi_direct_baseline,passive,10,0.0,0.0,-921.6541381248244
2024-07-01,qi_direct_baseline,passive,10,5.0,56.26488596676973,-865.3892521580547
2024-07-01,qi_direct_baseline,passive,10,10.0,112.52977193353946,-809.1243661912849
2024-07-01,qi_direct_baseline,passive,100,-10.0,-201.58029310121282,-50.024799496151616
2024-07-01,qi_direct_baseline,passive,100,-5.0,-100.79014655060641,50.76534705445479
2024-07-01,qi_direct_baseline,passive,100,0.0,0.0,151.5554936050612
2024-07-01,qi_direct_baseline,passive,100,5.0,100.79014655060641,252.3456401556676
2024-07-01,qi_direct_baseline,passive,100,10.0,201.58029310121282,353.135786706274
2024-07-01,qi_direct_baseline,passive,250,-10.0,-231.77888484869823,-1710.3105491903282
2024-07-01,qi_direct_baseline,passive,250,-5.0,-115.88944242434911,-1594.421106765979
2024-07-01,qi_direct_baseline,passive,250,0.0,0.0,-1478.53166434163
2024-07-01,qi_direct_baseline,passive,250,5.0,115.88944242434911,-1362.642221917281
2024-07-01,qi_direct_baseline,passive,250,10.0,231.77888484869823,-1246.7527794929317
2024-07-01,qi_direct_baseline,passive,50,-10.0,-114.18346882669269,-941.8875099391253
2024-07-01,qi_direct_baseline,passive,50,-5.0,-57.091734413346344,-884.7957755257789
2024-07-01,qi_direct_baseline,passive,50,0.0,0.0,-827.7040411124326
2024-07-01,qi_direct_baseline,passive,50,5.0,57.091734413346344,-770.6123066990863
2024-07-01,qi_direct_baseline,passive,50,10.0,114.18346882669269,-713.52057228574
