date,model,mode,latency_ms,fee_scenario,maker_fee_bps,taker_fee_bps,gross_pnl,maker_turnover,taker_turnover,maker_fees,taker_fees,total_fees,net_pnl,turnover,net_pnl_bps_of_turnover,fill_rate,maker_fill_count,taker_on_arrival_count,mean_fill_fraction,terminal_position,max_inventory
2024-07-01,lightgbm_qi_ofi,passive,100,P4,0.25,1.0,-2178.263225474686,6167281.883051742,1864627.820755681,154.18204707629354,186.4627820755681,340.64482915186164,-2518.9080546265477,8031909.703807328,-3.1361259619645896,0.04534398090779751,12552,196,0.03686223902300702,5.819067941774399,7.021528248729046
2024-07-01,lightgbm_qi_ofi,passive,100,P5,0.5,2.0,-2178.263225474686,6167281.883051742,1864627.820755681,308.3640941525871,372.9255641511362,681.2896583037233,-2859.552883778409,8031909.703807328,-3.560240327929619,0.04534398090779751,12552,196,0.03686223902300702,5.819067941774399,7.021528248729046
2024-07-01,lightgbm_qi_ofi,passive,100,P6,1.0,5.0,-2178.263225474686,6167281.883051742,1864627.820755681,616.7281883051742,932.3139103778406,1549.0420986830147,-3727.305324157701,8031909.703807328,-4.6406215478130495,0.04534398090779751,12552,196,0.03686223902300702,5.819067941774399,7.021528248729046
2024-07-01,lightgbm_qi_ofi,passive,250,P0,0.0,0.0,-2348.992528170522,5650281.4311418235,3953166.9559940496,0.0,0.0,0.0,-2348.992528170522,9603448.387135888,-2.445988600633361,0.051493873055211345,10514,411,0.0440747976273739,5.234827782373149,7.057233109508751
2024-07-01,lightgbm_qi_ofi,passive,250,P1,-0.5,0.5,-2348.992528170522,5650281.4311418235,3953166.9559940496,-282.5140715570912,197.65834779970248,-84.85572375738872,-2264.136804413133,9603448.387135888,-2.3576289611198553,0.051493873055211345,10514,411,0.0440747976273739,5.234827782373149,7.057233109508751
2024-07-01,lightgbm_qi_ofi,passive,250,P2,0.0,0.5,-2348.992528170522,5650281.4311418235,3953166.9559940496,0.0,197.65834779970248,197.65834779970248,-2546.650875970224,9603448.387135888,-2.6518087808766073,0.051493873055211345,10514,411,0.0440747976273739,5.234827782373149,7.057233109508751
2024-07-01,lightgbm_qi_ofi,passive,250,P3,0.0,1.0,-2348.992528170522,5650281.4311418235,3953166.9559940496,0.0,395.31669559940497,395.31669559940497,-2744.3092237699266,9603448.387135888,-2.857628961119854,0.051493873055211345,10514,411,0.0440747976273739,5.234827782373149,7.057233109508751
2024-07-01,lightgbm_qi_ofi,passive,250,P4,0.25,1.0,-2348.992528170522,5650281.4311418235,3953166.9559940496,141.2570357785456,395.31669559940497,536.5737313779506,-2885.5662595484723,9603448.387135888,-3.004718870998231,0.051493873055211345,10514,411,0.0440747976273739,5.234827782373149,7.057233109508751
2024-07-01,lightgbm_qi_ofi,passive,250,P5,0.5,2.0,-2348.992528170522,5650281.4311418235,3953166.9559940496,282.5140715570912,790.6333911988099,1073.1474627559012,-3422.139990926423,9603448.387135888,-3.5634491413631,0.051493873055211345,10514,411,0.0440747976273739,5.234827782373149,7.057233109508751
2024-07-01,lightgbm_qi_ofi,passive,250,P6,1.0,5.0,-2348.992528170522,5650281.4311418235,3953166.9559940496,565.0281431141824,1976.5834779970248,2541.611621111207,-4890.604149281729,9603448.387135888,-5.092550042579333,0.051493873055211345,10514,411,0.0440747976273739,5.234827782373149,7.057233109508751
2024-07-01,lightgbm_qi_ofi,passive,50,P0,0.0,0.0,-2788.000988913991,6015685.623392854,0.0,0.0,0.0,0.0,-2788.000988913991,6015685.623392807,-4.634552341087227,0.03575198494653265,11963,0,0.027608819768928816,7.142616967748775,8.195565812296044
2024-07-01,lightgbm_qi_ofi,passive,50,P1,-0.5,0.5,-2788.000988913991,6015685.623392854,0.0,-300.78428116964267,0.0,-300.78428116964267,-2487.2167077443482,6015685.623392807,-4.134552341087223,0.03575198494653265,11963,0,0.027608819768928816,7.142616967748775,8.195565812296044
2024-07-01,lightgbm_qi_ofi,passive,50,P2,0.0,0.5,-2788.000988913991,6015685.623392854,0.0,0.0,0.0,0.0,-2788.000988913991,6015685.623392807,-4.634552341087227,0.03575198494653265,11963,0,0.027608819768928816,7.142616967748775,8.195565812296044
2024-07-01,lightgbm_qi_ofi,passive,50,P3,0.0,1.0,-2788.000988913991,6015685.623392854,0.0,0.0,0.0,0.0,-2788.000988913991,6015685.623392807,-4.634552341087227,0.03575198494653265,11963,0,0.027608819768928816,7.142616967748775,8.195565812296044
2024-07-01,lightgbm_qi_ofi,passive,50,P4,0.25,1.0,-2788.000988913991,6015685.623392854,0.0,150.39214058482133,0.0,150.39214058482133,-2938.3931294988124,6015685.623392807,-4.884552341087229,0.03575198494653265,11963,0,0.027608819768928816,7.142616967748775,8.195565812296044
2024-07-01,lightgbm_qi_ofi,passive,50,P5,0.5,2.0,-2788.000988913991,6015685.623392854,0.0,300.78428116964267,0.0,300.78428116964267,-3088.785270083634,6015685.623392807,-5.134552341087231,0.03575198494653265,11963,0,0.027608819768928816,7.142616967748775,8.195565812296044
2024-07-01,lightgbm_qi_ofi,passive,50,P6,1.0,5.0,-2788.000988913991,6015685.623392854,0.0,601.5685623392853,0.0,601.5685623392853,-3389.5695512532766,6015685.623392807,-5.634552341087235,0.03575198494653265,11963,0,0.027608819768928816,7.142616967748775,8.195565812296044
2024-07-01,qi_direct_baseline,passive,0,P0,0.0,0.0,-1035.9125899009377,1879536.638854131,0.0,0.0,0.0,0.0,-1035.9125899009377,1879536.6388541388,-5.511531770577682,0.014747191011235955,1972,0,0.013128770964257372,1.943989932014357,3.6595463441971856
2024-07-01,qi_direct_baseline,passive,0,P1,-0.5,0.5,-1035.9125899009377,1879536.638854131,0.0,-93.97683194270655,0.0,-93.97683194270655,-941.9357579582312,1879536.6388541388,-5.011531770577685,0.014747191011235955,1972,0,0.013128770964257372,1.943989932014357,3.6595463441971856
2024-07-01,qi_direct_baseline,passive,0,P2,0.0,0.5,-1035.9125899009377,1879536.638854131,0.0,0.0,0.0,0.0,-1035.9125899009377,1879536.6388541388,-5.511531770577682,0.014747191011235955,1972,0,0.013128770964257372,1.943989932014357,3.6595463441971856
2024-07-01,qi_direct_baseline,passive,0,P3,0.0,1.0,-1035.9125899009377,1879536.638854131,0.0,0.0,0.0,0.0,-1035.9125899009377,1879536.6388541388,-5.511531770577682,0.014747191011235955,1972,0,0.013128770964257372,1.943989932014357,3.6595463441971856
2024-07-01,qi_direct_baseline,passive,0,P4,0.25,1.0,-1035.9125899009377,1879536.638854131,0.0,46.98841597135328,0.0,46.98841597135328,-1082.901005872291,1879536.6388541388,-5.761531770577681,0.014747191011235955,1972,0,0.013128770964257372,1.943989932014357,3.6595463441971856
2024-07-01,qi_direct_baseline,passive,0,P5,0.5,2.0,-1035.9125899009377,1879536.638854131,0.0,93.97683194270655,0.0,93.97683194270655,-1129.8894218436444,1879536.6388541388,-6.0115317705776805,0.014747191011235955,1972,0,0.013128770964257372,1.943989932014357,3.6595463441971856
2024-07-01,qi_direct_baseline,passive,0,P6,1.0,5.0,-1035.9125899009377,1879536.638854131,0.0,187.9536638854131,0.0,187.9536638854131,-1223.8662537863509,1879536.6388541388,-6.511531770577678,0.014747191011235955,1972,0,0.013128770964257372,1.943989932014357,3.6595463441971856
2024-07-01,qi_direct_baseline,passive,10,P0,0.0,0.0,-921.6541381248244,1879087.5133233974,0.0,0.0,0.0,0.0,-921.6541381248244,1879087.513323403,-4.904796245996882,0.014747191011235955,1955,0,0.013125616987392555,1.7890267230313683,3.5162087369385593
2024-07-01,qi_direct_baseline,passive,10,P1,-0.5,0.5,-921.6541381248244,1879087.5133233974,0.0,-93.95437566616987,0.0,-93.95437566616987,-827.6997624586545,1879087.513323403,-4.404796245996884,0.014747191011235955,1955,0,0.013125616987392555,1.7890267230313683,3.5162087369385593
2024-07-01,qi_direct_baseline,passive,10,P2,0.0,0.5,-921.6541381248244,1879087.5133233974,0.0,0.0,0.0,0.0,-921.6541381248244,1879087.513323403,-4.904796245996882,0.014747191011235955,1955,0,0.013125616987392555,1.7890267230313683,3.5162087369385593
2024-07-01,qi_direct_baseline,passive,10,P3,0.0,1.0,-921.6541381248244,1879087.5133233974,0.0,0.0,0.0,0.0,-921.6541381248244,1879087.513323403,-4.904796245996882,0.014747191011235955,1955,0,0.013125616987392555,1.7890267230313683,3.5162087369385593
2024-07-01,qi_direct_baseline,passive,10,P4,0.25,1.0,-921.6541381248244,1879087.5133233974,0.0,46.97718783308493,0.0,46.97718783308493,-968.6313259579093,1879087.513323403,-5.154796245996882,0.014747191011235955,1955,0,0.013125616987392555,1.7890267230313683,3.5162087369385593
2024-07-01,qi_direct_baseline,passive,10,P5,0.5,2.0,-921.6541381248244,1879087.5133233974,0.0,93.95437566616987,0.0,93.95437566616987,-1015.6085137909943,1879087.513323403,-5.404796245996881,0.014747191011235955,1955,0,0.013125616987392555,1.7890267230313683,3.5162087369385593
2024-07-01,qi_direct_baseline,passive,10,P6,1.0,5.0,-921.6541381248244,1879087.5133233974,0.0,187.90875133233973,0.0,187.90875133233973,-1109.5628894571641,1879087.513323403,-5.904796245996879,0.014747191011235955,1955,0,0.013125616987392555,1.7890267230313683,3.5162087369385593
2024-07-01,qi_direct_baseline,passive,100,P0,0.0,0.0,151.5554936050612,2029013.0519646325,994635.8373990372,0.0,0.0,0.0,151.5554936050612,3023648.8893636637,0.5012337713488835,0.02359550561797753,2714,101,0.02116323707953792,3.204774389905958,3.7069910927698375
2024-07-01,qi_direct_baseline,passive,100,P1,-0.5,0.5,151.5554936050612,2029013.0519646325,994635.8373990372,-101.45065259823163,49.73179186995186,-51.718860728279765,203.27435433334097,3023648.8893636637,0.6722816099726469,0.02359550561797753,2714,101,0.02116323707953792,3.204774389905958,3.7069910927698375
2024-07-01,qi_direct_baseline,passive,100,P2,0.0,0.5,151.5554936050612,2029013.0519646325,994635.8373990372,0.0,49.73179186995186,49.73179186995186,101.82370173510934,3023648.8893636637,0.33675769066076466,0.02359550561797753,2714,101,0.02116323707953792,3.204774389905958,3.7069910927698375
2024-07-01,qi_direct_baseline,passive,100,P3,0.0,1.0,151.5554936050612,2029013.0519646325,994635.8373990372,0.0,99.46358373990373,99.46358373990373,52.091909865157476,3023648.8893636637,0.17228160997264594,0.02359550561797753,2714,101,0.02116323707953792,3.204774389905958,3.7069910927698375
2024-07-01,qi_direct_baseline,passive,100,P4,0.25,1.0,151.5554936050612,2029013.0519646325,994635.8373990372,50.725326299115814,99.46358373990373,150.18891003901953,1.366583566041669,3023648.8893636637,0.00451965031670483,0.02359550561797753,2714,101,0.02116323707953792,3.204774389905958,3.7069910927698375
2024-07-01,qi_direct_baseline,passive,100,P5,0.5,2.0,151.5554936050612,2029013.0519646325,994635.8373990372,101.45065259823163,198.92716747980745,300.37782007803906,-148.82232647297786,3023648.8893636637,-0.49219447071547373,0.02359550561797753,2714,101,0.02116323707953792,3.204774389905958,3.7069910927698375
2024-07-01,qi_direct_baseline,passive,100,P6,1.0,5.0,151.5554936050612,2029013.0519646325,994635.8373990372,202.90130519646326,497.3179186995186,700.2192238959818,-548.6637302909206,3023648.8893636637,-1.8145748741560683,0.02359550561797753,2714,101,0.02116323707953792,3.204774389905958,3.7069910927698375
2024-07-01,qi_direct_baseline,passive,250,P0,0.0,0.0,-1478.53166434163,1984415.3614559984,2183173.2150849155,0.0,0.0,0.0,-1478.53166434163,4167588.5765408925,-3.547691038084221,0.03160112359550562,2612,227,0.029126346546992976,3.6848792253274145,4.3767942671368605
2024-07-01,qi_direct_baseline,passive,250,P1,-0.5,0.5,-1478.53166434163,1984415.3614559984,2183173.2150849155,-99.22076807279991,109.15866075424577,9.93789268144586,-1488.4695570230758,4167588.5765408925,-3.5715367044664204,0.03160112359550562,2612,227,0.029126346546992976,3.6848792253274145,4.3767942671368605
2024-07-01,qi_direct_baseline,passive,250,P2,0.0,0.5,-1478.53166434163,1984415.3614559984,2183173.2150849155,0.0,109.15866075424577,109.15866075424577,-1587.6903250958758,4167588.5765408925,-3.8096138712753222,0.03160112359550562,2612,227,0.029126346546992976,3.6848792253274145,4.3767942671368605
2024-07-01,qi_direct_baseline,passive,250,P3,0.0,1.0,-1478.53166434163,1984415.3614559984,2183173.2150849155,0.0,218.31732150849155,218.31732150849155,-1696.8489858501216,4167588.5765408925,-4.071536704466423,0.03160112359550562,2612,227,0.029126346546992976,3.6848792253274145,4.3767942671368605
