comparison,left_model,right_model,latency_ms,fee_bps,gross_pnl_increment,turnover_increment,gross_pnl_bps_increment,net_pnl_increment
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0,0.0,170.6367092869259,-13331678.813409746,0.024559730042181926,170.6367092869259
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0,0.1,170.6367092869259,-13331678.813409746,0.024559730042181926,303.95349742102326
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0,0.25,170.6367092869259,-13331678.813409746,0.024559730042181926,503.9286796221695
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0,0.5,170.6367092869259,-13331678.813409746,0.024559730042181926,837.2206499574131
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0,1.0,170.6367092869259,-13331678.813409746,0.024559730042181926,1503.8045906279003
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0,2.0,170.6367092869259,-13331678.813409746,0.024559730042181926,2836.9724719688747
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0,5.0,170.6367092869259,-13331678.813409746,0.024559730042181926,6836.476115991783
Extended_minus_QI_OFI,lightgbm_extended,lightgbm_qi_ofi,0,10.0,170.6367092869259,-13331678.813409746,0.024559730042181926,13502.315522696648
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,10,0.0,346.61804734692123,63642191.8765223,-0.09913295033413577,346.61804734692123
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,10,0.1,346.61804734692123,63642191.8765223,-0.09913295033413577,-289.8038714183017
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,10,0.25,346.61804734692123,63642191.8765223,-0.09913295033413577,-1244.4367495661363
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,10,0.5,346.61804734692123,63642191.8765223,-0.09913295033413577,-2835.491546479194
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,10,1.0,346.61804734692123,63642191.8765223,-0.09913295033413577,-6017.601140305309
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,10,2.0,346.61804734692123,63642191.8765223,-0.09913295033413577,-12381.82032795754
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,10,5.0,346.61804734692123,63642191.8765223,-0.09913295033413577,-31474.477890914233
Extended_minus_QI,lightgbm_extended,qi_direct_baseline,10,10.0,346.61804734692123,63642191.8765223,-0.09913295033413577,-63295.57382917538
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,10,0.0,175.98133805999532,76973870.68993205,-0.1236926803763177,175.98133805999532
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,10,0.1,175.98133805999532,76973870.68993205,-0.1236926803763177,-593.757368839325
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,10,0.25,175.98133805999532,76973870.68993205,-0.1236926803763177,-1748.3654291883058
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,10,0.5,175.98133805999532,76973870.68993205,-0.1236926803763177,-3672.712196436607
QI_OFI_minus_QI,lightgbm_qi_ofi,qi_direct_baseline,10,1.0,175.98133805999532,76973870.68993205,-0.1236926803763177,-7521.405730933209
