date,model,mode,latency_ms,gross_pnl,turnover,breakeven_fee_status,breakeven_fee_bps,fee_grid_interpolated_breakeven_bps,maker_turnover,taker_turnover,fee_scenario,maker_fee_bps,taker_fee_bps,breakeven_relationship,breakeven_maker_fee_bps_at_fixed_taker,breakeven_taker_fee_bps_at_fixed_maker,maker_breakeven_requires_rebate,taker_breakeven_requires_rebate
2024-07-01,lightgbm_qi_ofi,passive,0,-3080.5074360552244,6125189.791964068,,,,6125189.791964119,0.0,P1,-0.5,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.029244057215443,,True,False
2024-07-01,lightgbm_qi_ofi,passive,0,-3080.5074360552244,6125189.791964068,,,,6125189.791964119,0.0,P2,0.0,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.029244057215443,,True,False
2024-07-01,lightgbm_qi_ofi,passive,0,-3080.5074360552244,6125189.791964068,,,,6125189.791964119,0.0,P3,0.0,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.029244057215443,,True,False
2024-07-01,lightgbm_qi_ofi,passive,0,-3080.5074360552244,6125189.791964068,,,,6125189.791964119,0.0,P4,0.25,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.029244057215443,,True,False
2024-07-01,lightgbm_qi_ofi,passive,0,-3080.5074360552244,6125189.791964068,,,,6125189.791964119,0.0,P5,0.5,2.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.029244057215443,,True,False
2024-07-01,lightgbm_qi_ofi,passive,0,-3080.5074360552244,6125189.791964068,,,,6125189.791964119,0.0,P6,1.0,5.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-5.029244057215443,,True,False
2024-07-01,lightgbm_qi_ofi,passive,10,-2741.6763699511066,6074497.377755009,,,,6074497.377755085,0.0,P0,0.0,0.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.513420945724946,,True,False
2024-07-01,lightgbm_qi_ofi,passive,10,-2741.6763699511066,6074497.377755009,,,,6074497.377755085,0.0,P1,-0.5,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.513420945724946,,True,False
2024-07-01,lightgbm_qi_ofi,passive,10,-2741.6763699511066,6074497.377755009,,,,6074497.377755085,0.0,P2,0.0,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.513420945724946,,True,False
2024-07-01,lightgbm_qi_ofi,passive,10,-2741.6763699511066,6074497.377755009,,,,6074497.377755085,0.0,P3,0.0,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.513420945724946,,True,False
2024-07-01,lightgbm_qi_ofi,passive,10,-2741.6763699511066,6074497.377755009,,,,6074497.377755085,0.0,P4,0.25,1.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.513420945724946,,True,False
2024-07-01,lightgbm_qi_ofi,passive,10,-2741.6763699511066,6074497.377755009,,,,6074497.377755085,0.0,P5,0.5,2.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.513420945724946,,True,False
2024-07-01,lightgbm_qi_ofi,passive,10,-2741.6763699511066,6074497.377755009,,,,6074497.377755085,0.0,P6,1.0,5.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-4.513420945724946,,True,False
2024-07-01,lightgbm_qi_ofi,passive,100,-2178.263225474686,8031909.703807328,,,,6167281.883051742,1864627.820755681,P0,0.0,0.0,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-3.531966378025875,-11.682026843254421,True,True
2024-07-01,lightgbm_qi_ofi,passive,100,-2178.263225474686,8031909.703807328,,,,6167281.883051742,1864627.820755681,P1,-0.5,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-3.683137336003315,-10.028270041387035,True,True
2024-07-01,lightgbm_qi_ofi,passive,100,-2178.263225474686,8031909.703807328,,,,6167281.883051742,1864627.820755681,P2,0.0,0.5,gross_pnl - maker_fee_rate * maker_turnover - taker_fee_rate * taker_turnover = 0,-3.683137336003315,-11.682026843254421,True,True
