date,model,mode,latency_ms,parent_orders,fill_count,filled_parent_orders,fill_rate,mean_fill_fraction,turnover,turnover_per_parent_order,turnover_per_active_signal_transition,gross_pnl,gross_pnl_bps_of_turnover,net_pnl_zero_fee,realized_pnl,terminal_unrealized_pnl,terminal_position,terminal_mark_mid,max_inventory,intraday_max_drawdown,maker_turnover,taker_turnover,maker_fill_count,taker_fill_count,taker_on_arrival_count,mean_implementation_shortfall,average_signed_spread_vs_decision_mid,average_signed_spread_vs_arrival_mid,average_signed_markout_100ms,active_signal_transition_count,active_signal_row_count,zero_fee_ledger_sha256,pnl_loss_vs_0ms,pnl_loss_pct_vs_0ms
2024-07-01,qi_direct_baseline,market,0,14240,20117,14240,1.0,,142876210.0156418,10033.441714581588,10033.441714581588,5374.277072860903,0.3761491904266314,5374.277072860903,5375.860285026886,-1.5832121654803022,-1.339746468426229,62899.995,1.870617457951455,778.940503023885,0.0,142876210.01564154,0,20117,0,6.77987427046345e-06,6.77987427046345e-06,6.77987427046345e-06,-1.088351731772336e-06,14240,17786,2fa2bfdfa96fdc5a617e2413ad0b259c89ecd743274669eacd5bda9a762df57a,0.0,0.0
2024-07-01,qi_direct_baseline,market,10,14240,20117,14240,1.0,,142876210.0156418,10033.441714581588,10033.441714581588,5374.277072860903,0.3761491904266314,5374.277072860903,5375.860285026886,-1.5832121654803022,-1.339746468426229,62899.995,1.870617457951455,778.940503023885,0.0,142876210.01564154,0,20117,0,6.77987427046345e-06,6.77987427046345e-06,6.77987427046345e-06,2.8388612766604716e-06,14240,17786,7fe0fd40c9911215d4a5df3240fabf8a503275fc33d4c43c068e008ef88e0bfc,0.0,0.0
2024-07-01,qi_direct_baseline,market,100,14240,19442,14240,1.0,,142879876.99890685,10033.699227451323,10033.699227451323,5177.823381225753,0.3623899663117268,5177.823381225753,5176.968076487272,0.8553047394386138,-1.0555631291189436,62899.995,1.4173807561822744,585.4507300932455,0.0,142879876.99890643,0,19442,0,1.0472018849959377e-05,1.0472018849959377e-05,6.132165458564443e-06,-1.4636148382271684e-06,14240,17786,e840ba0a41403dbd58841f9745e74d76ab59e5a424ceac49566b418f3271d0fb,196.45369163514988,0.03655444052693234
2024-07-01,qi_direct_baseline,market,250,14240,18996,14240,1.0,,142952045.4788868,10038.767238685872,10038.767238685872,4267.334070700442,0.2985150759056961,4267.334070700442,4267.334744887637,-0.0006741869097704719,0.1348373820247315,62899.995,0.8642726950056672,415.3812068889383,0.0,142952045.4788861,0,18996,0,1.256947226827485e-05,1.256947226827485e-05,6.008655389369199e-06,7.272970319738409e-07,14240,17786,98c07b756223b7c77366f0fe0b9c13029c60ee560d050148a1b7536ee7968e41,1106.9430021604612,0.2059705867697661
2024-07-01,qi_direct_baseline,market,50,14240,20117,14240,1.0,,142876210.0156418,10033.441714581588,10033.441714581588,5374.277072860903,0.3761491904266314,5374.277072860903,5375.860285026886,-1.5832121654803022,-1.339746468426229,62899.995,1.870617457951455,778.940503023885,0.0,142876210.01564154,0,20117,0,6.77987427046345e-06,6.77987427046345e-06,6.77987427046345e-06,2.8388612766604716e-06,14240,17786,bb08b755145c46e314e9b2a87ca0938bb64a4041def717f0ff4ae997020de969,0.0,0.0
2024-07-01,lightgbm_extended,passive,0,20465,9501,633,0.030930857561690693,0.023682415223913997,4866605.998529209,237.80141698163737,237.80141698163737,-3630.264330080594,-7.459540244634015,-3630.264330080594,-863.697169875399,-2766.5671602123907,11.957668360736466,62899.995,11.957668360736466,11506.585638153949,4866605.998529214,0.0,9501,0,0,-1.9750778566219973e-07,-1.9750778566219973e-07,-1.9750778566219973e-07,-8.853923819075048e-05,20465,18194,19ca2960173074294a0c0a5d0867df46b0ddfba68d5bbb22cdb89d7944d20339,,
2024-07-01,lightgbm_extended,passive,10,20465,9534,629,0.030735401905692645,0.023571167728521133,4843839.201458199,236.68894216751522,236.68894216751522,-3344.955215478898,-6.905586821445118,-3344.955215478898,-727.2289508213362,-2617.7262646645586,11.385441983179174,62899.995,11.495394290155339,11045.840603015851,4843839.201458196,0.0,9534,0,0,-1.9709955451694774e-07,-1.9709955451694774e-07,-1.9709955451694774e-07,-8.886115789537348e-05,20465,18194,ecac70c4cbaa9873354fa4d4d8279527e6aaff94d2fba137794808c0f058b229,,
2024-07-01,lightgbm_extended,passive,100,20465,10911,778,0.03801612509161984,0.03036492513370315,6234185.619222174,304.62670995466283,304.62670995466283,-2571.828693028423,-4.125364322003143,-2571.828693028423,-639.9838329147991,-1931.8448601150326,7.732312207016806,62899.995,7.821530552968911,6659.57642935036,5174181.762984535,1060003.8562377119,10798,113,113,-8.409320521833261e-07,-8.409320521833261e-07,-6.174299459971783e-07,-8.624031028703795e-05,20465,18194,a91da94c45eb72db0ee44f3f0ae9ef1acbf4bb968d786f824738dc1601490f1f,,
2024-07-01,lightgbm_extended,passive,250,20465,9182,914,0.04466161739555338,0.03775348350658197,7746246.646231247,378.511929940447,378.511929940447,-3440.298609503545,-4.441245891876346,-3440.298609503545,-434.9285043657252,-3005.370105147039,10.356837772068214,62899.995,11.265525586776613,10504.424281845102,4776250.085461404,2969996.560769912,8875,307,307,-2.505126465046264e-06,-2.505126465046264e-06,-1.9996205438452923e-06,-8.717616591059854e-05,20465,18194,f4acbb8dd80fc41580a5d57cb5266eed5b0f38b934db215e939a084f58952811,,
2024-07-01,lightgbm_extended,passive,50,20465,9440,625,0.0305399462496946,0.023471135901724404,4823367.688042334,235.68862389652256,235.68862389652256,-3349.823029478779,-6.944987913285905,-3349.823029478779,-971.449606899058,-2378.373422587438,10.447177301213427,62899.995,10.839485191787054,10216.363051676308,4823367.6880423315,0.0,9440,0,0,-2.0435096849296078e-07,-2.0435096849296078e-07,-2.0435096849296078e-07,-8.965452514758632e-05,20465,18194,b9bee6ec8083f8b42dbf31edcfc2fdda97036f3e3be081581b97923b5383ebbf,,
2024-07-01,lightgbm_qi_ofi,passive,0,21789,12060,793,0.03639451099178485,0.028111386227098304,6125189.791964068,281.11385524641184,281.11385524641184,-3080.5074360552244,-5.029244057215486,-3080.5074360552244,-805.4692192090347,-2275.038216851113,9.130302156076135,62899.995,10.06877227302567,9133.442091293226,6125189.791964119,0.0,12060,0,0,-3.4183513970957855e-07,-3.4183513970957855e-07,-3.4183513970957855e-07,-9.322343980259134e-05,21789,18239,5d673ce513f03043de8a091267739cda50b31dd669ef7814037369aa43de736c,,
2024-07-01,lightgbm_qi_ofi,passive,10,21789,12218,786,0.03607324796915875,0.027878734815217996,6074497.377755009,278.7873412159809,278.7873412159809,-2741.6763699511066,-4.513420945725003,-2741.6763699511066,-604.3242159687894,-2137.3521539921758,8.745189147620211,62899.995,9.524585468565501,8757.335480751994,6074497.377755085,0.0,12218,0,0,-3.994326489008344e-07,-3.994326489008344e-07,-3.994326489008344e-07,-9.571900697761282e-05,21789,18239,8744ce1c991dbee7ad3c52e5bd6144a3863a68de51ea298265bb1ecc105b4fb9,,
2024-07-01,lightgbm_qi_ofi,passive,100,21789,12748,988,0.04534398090779751,0.03686223902300702,8031909.703807328,368.62222698643023,368.62222698643023,-2178.263225474686,-2.712011595999559,-2178.263225474686,-880.0457814257971,-1298.2174440461508,5.819067941774399,62899.995,7.021528248729046,5801.474107986782,6167281.883051742,1864627.820755681,12552,196,196,-1.1539556554697e-06,-1.1539556554697e-06,1.137014380370367e-07,-8.61329387292434e-05,21789,18239,6fa048167f0a0d2aa08e68f837b05b6f0fe1433590a9dc5b051ce1ef844b620c,,
2024-07-01,lightgbm_qi_ofi,passive,250,21789,10925,1122,0.051493873055211345,0.0440747976273739,9603448.387135888,440.7475509264256,440.7475509264256,-2348.992528170522,-2.445988600633361,-2348.992528170522,-1061.3791072733677,-1287.6134208964963,5.234827782373149,62899.995,7.057233109508751,6379.471404726268,5650281.4311418235,3953166.9559940496,10514,411,411,-2.8346663856522066e-06,-2.8346663856522066e-06,-9.85161414230768e-07,-8.653906966327887e-05,21789,18239,9c9f3effb335ac7bfe133aed024b97efd6f6be85abb6e3a09005c8951ca1b1e9,,
2024-07-01,lightgbm_qi_ofi,passive,50,21789,11963,779,0.03575198494653265,0.027608819768928816,6015685.623392807,276.0881923627889,276.0881923627889,-2788.000988913991,-4.634552341087227,-2788.000988913991,-975.3731154199505,-1812.6278734939222,7.142616967748775,62899.995,8.195565812296044,7026.378466650203,6015685.623392854,0.0,11963,0,0,-2.1647036060997824e-07,-2.1647036060997824e-07,-2.1647036060997824e-07,-9.329150662451244e-05,21789,18239,0e69ec68690e5d1a48cf01788ac41bb5c504d1859962e327bbff9e79bfa68e56,,
2024-07-01,qi_direct_baseline,passive,0,14240,1972,210,0.014747191011235955,0.013128770964257372,1879536.6388541388,131.98993250380187,131.98993250380187,-1035.9125899009377,-5.511531770577682,-1035.9125899009377,-329.60068186357563,-706.3119080364783,1.943989932014357,62899.995,3.6595463441971856,3022.892435182279,1879536.638854131,0.0,1972,0,0,-2.0118706247781496e-06,-2.0118706247781496e-06,-2.0118706247781496e-06,-0.00014105230024999424,14240,17786,5074311af92b90a2d03c323ee56f533b3e6020b0c5399d23836fe9ae38bf6747,,
2024-07-01,qi_direct_baseline,passive,10,14240,1955,210,0.014747191011235955,0.013125616987392555,1879087.513323403,131.9583927895648,131.9583927895648,-921.6541381248244,-4.904796245996882,-921.6541381248244,-271.1046853322388,-650.5494527919943,1.7890267230313683,62899.995,3.5162087369385593,2941.303799926485,1879087.5133233974,0.0,1955,0,0,-2.307319462519551e-06,-2.307319462519551e-06,-2.307319462519551e-06,-0.00014702612073085226,14240,17786,b87fe142ecbbd395073853c9a8450d4a49f74ae82b8a920934e3cb7f9c1cb9ac,,
2024-07-01,qi_direct_baseline,passive,100,14240,2815,336,0.02359550561797753,0.02116323707953792,3023648.8893636637,212.33489391598764,212.33489391598764,151.5554936050612,0.5012337713488835,151.5554936050612,1075.537259030324,-923.9817654234315,3.204774389905958,62899.995,3.7069910927698375,2372.257226170943,2029013.0519646325,994635.8373990372,2714,101,101,-3.883156911046472e-06,-3.883156911046472e-06,7.417466049041308e-07,-0.00013767096596692502,14240,17786,19e7852dce7e17fd46f0ee3c0120c1f731109c7afdf2f2e247452f6fbd17120a,,
2024-07-01,qi_direct_baseline,passive,250,14240,2839,450,0.03160112359550562,0.029126346546992976,4167588.5765408925,292.6677371166357,292.6677371166357,-1478.53166434163,-3.547691038084221,-1478.53166434163,-230.64507959837812,-1247.8865847429827,3.6848792253274145,62899.995,4.3767942671368605,2937.9602090218104,1984415.3614559984,2183173.2150849155,2612,227,227,-6.502490808137161e-06,-6.502490808137161e-06,-3.911304143537823e-06,-0.0001169627871993657,14240,17786,edc721265c30c7ae5ed623f1d3e95d42dec286e1362cb73a2f2cdaaf0518a2e6,,
2024-07-01,qi_direct_baseline,passive,50,14240,1880,201,0.014115168539325844,0.012561647717298103,1798778.2478074676,126.3186971774907,126.3186971774907,-827.7040411124326,-4.60147904346365,-827.7040411124326,-167.92329174393126,-659.78074936873,1.815317613724654,62899.995,3.0731858846007643,2354.009700541086,1798778.2478074655,0.0,1880,0,0,-1.7513769857021633e-06,-1.7513769857021633e-06,-1.7513769857021633e-06,-0.0001433909451433608,14240,17786,d9560d26ed6f5bfe5c9fe5882cd827934a0579562a10832c81a5d8134fbcbc0b,,
