date,model,mode,latency_ms,fee_bps,gross_pnl,taker_fees,total_fees,net_pnl,turnover,net_pnl_bps_of_turnover
2024-07-01,lightgbm_extended,market,50,0.25,5720.895120207824,5162.960047304103,5162.960047304103,557.9350729037214,206518401.8921641,0.027016240092495654
2024-07-01,lightgbm_extended,market,50,0.5,5720.895120207824,10325.920094608206,10325.920094608206,-4605.024974400381,206518401.8921641,-0.22298375990750435
2024-07-01,lightgbm_extended,market,50,1.0,5720.895120207824,20651.84018921641,20651.84018921641,-14930.945069008587,206518401.8921641,-0.7229837599075043
2024-07-01,lightgbm_extended,market,50,2.0,5720.895120207824,41303.68037843282,41303.68037843282,-35582.785258225,206518401.8921641,-1.7229837599075042
2024-07-01,lightgbm_extended,market,50,5.0,5720.895120207824,103259.20094608206,103259.20094608206,-97538.30582587424,206518401.8921641,-4.722983759907505
2024-07-01,lightgbm_extended,market,50,10.0,5720.895120207824,206518.4018921641,206518.4018921641,-200797.50677195628,206518401.8921641,-9.722983759907503
2024-07-01,lightgbm_qi_ofi,market,0,0.0,5550.258410920898,0.0,0.0,5550.258410920898,219850080.70557386,0.2524565100503137
2024-07-01,lightgbm_qi_ofi,market,0,0.1,5550.258410920898,2198.5008070557387,2198.5008070557387,3351.7576038651596,219850080.70557386,0.1524565100503137
2024-07-01,lightgbm_qi_ofi,market,0,0.25,5550.258410920898,5496.252017639346,5496.252017639346,54.00639328155194,219850080.70557386,0.002456510050313696
2024-07-01,lightgbm_qi_ofi,market,0,0.5,5550.258410920898,10992.504035278693,10992.504035278693,-5442.245624357794,219850080.70557386,-0.2475434899496863
2024-07-01,lightgbm_qi_ofi,market,0,1.0,5550.258410920898,21985.008070557386,21985.008070557386,-16434.749659636487,219850080.70557386,-0.7475434899496863
2024-07-01,lightgbm_qi_ofi,market,0,2.0,5550.258410920898,43970.01614111477,43970.01614111477,-38419.75773019387,219850080.70557386,-1.7475434899496864
2024-07-01,lightgbm_qi_ofi,market,0,5.0,5550.258410920898,109925.04035278692,109925.04035278692,-104374.78194186602,219850080.70557386,-4.747543489949686
2024-07-01,lightgbm_qi_ofi,market,0,10.0,5550.258410920898,219850.08070557384,219850.08070557384,-214299.82229465293,219850080.70557386,-9.747543489949685
2024-07-01,lightgbm_qi_ofi,market,10,0.0,5550.258410920898,0.0,0.0,5550.258410920898,219850080.70557386,0.2524565100503137
2024-07-01,lightgbm_qi_ofi,market,10,0.1,5550.258410920898,2198.5008070557387,2198.5008070557387,3351.7576038651596,219850080.70557386,0.1524565100503137
2024-07-01,lightgbm_qi_ofi,market,10,0.25,5550.258410920898,5496.252017639346,5496.252017639346,54.00639328155194,219850080.70557386,0.002456510050313696
2024-07-01,lightgbm_qi_ofi,market,10,0.5,5550.258410920898,10992.504035278693,10992.504035278693,-5442.245624357794,219850080.70557386,-0.2475434899496863
2024-07-01,lightgbm_qi_ofi,market,10,1.0,5550.258410920898,21985.008070557386,21985.008070557386,-16434.749659636487,219850080.70557386,-0.7475434899496863
2024-07-01,lightgbm_qi_ofi,market,10,2.0,5550.258410920898,43970.01614111477,43970.01614111477,-38419.75773019387,219850080.70557386,-1.7475434899496864
2024-07-01,lightgbm_qi_ofi,market,10,5.0,5550.258410920898,109925.04035278692,109925.04035278692,-104374.78194186602,219850080.70557386,-4.747543489949686
2024-07-01,lightgbm_qi_ofi,market,10,10.0,5550.258410920898,219850.08070557384,219850.08070557384,-214299.82229465293,219850080.70557386,-9.747543489949685
2024-07-01,lightgbm_qi_ofi,market,100,0.0,5323.436535794204,0.0,0.0,5323.436535794204,219792552.9203605,0.24220277097937412
2024-07-01,lightgbm_qi_ofi,market,100,0.1,5323.436535794204,2197.9255292036055,2197.9255292036055,3125.5110065905988,219792552.9203605,0.14220277097937412
2024-07-01,lightgbm_qi_ofi,market,100,0.25,5323.436535794204,5494.813823009013,5494.813823009013,-171.37728721480835,219792552.9203605,-0.007797229020625875
2024-07-01,lightgbm_qi_ofi,market,100,0.5,5323.436535794204,10989.627646018025,10989.627646018025,-5666.191110223821,219792552.9203605,-0.25779722902062585
2024-07-01,lightgbm_qi_ofi,market,100,1.0,5323.436535794204,21979.25529203605,21979.25529203605,-16655.818756241846,219792552.9203605,-0.7577972290206259
2024-07-01,lightgbm_qi_ofi,market,100,2.0,5323.436535794204,43958.5105840721,43958.5105840721,-38635.07404827789,219792552.9203605,-1.7577972290206259
2024-07-01,lightgbm_qi_ofi,market,100,5.0,5323.436535794204,109896.27646018026,109896.27646018026,-104572.83992438606,219792552.9203605,-4.7577972290206265
2024-07-01,lightgbm_qi_ofi,market,100,10.0,5323.436535794204,219792.55292036053,219792.55292036053,-214469.11638456632,219792552.9203605,-9.757797229020627
2024-07-01,lightgbm_qi_ofi,market,250,0.0,4432.70561762869,0.0,0.0,4432.70561762869,219860458.7067164,0.2016144987463031
2024-07-01,lightgbm_qi_ofi,market,250,0.1,4432.70561762869,2198.604587067164,2198.604587067164,2234.1010305615255,219860458.7067164,0.10161449874630309
2024-07-01,lightgbm_qi_ofi,market,250,0.25,4432.70561762869,5496.5114676679095,5496.5114676679095,-1063.8058500392199,219860458.7067164,-0.048385501253696894
2024-07-01,lightgbm_qi_ofi,market,250,0.5,4432.70561762869,10993.022935335819,10993.022935335819,-6560.317317707129,219860458.7067164,-0.2983855012536969
2024-07-01,lightgbm_qi_ofi,market,250,1.0,4432.70561762869,21986.045870671638,21986.045870671638,-17553.34025304295,219860458.7067164,-0.7983855012536969
2024-07-01,lightgbm_qi_ofi,market,250,2.0,4432.70561762869,43972.091741343276,43972.091741343276,-39539.38612371459,219860458.7067164,-1.798385501253697
2024-07-01,lightgbm_qi_ofi,market,250,5.0,4432.70561762869,109930.2293533582,109930.2293533582,-105497.52373572951,219860458.7067164,-4.798385501253698
2024-07-01,lightgbm_qi_ofi,market,250,10.0,4432.70561762869,219860.4587067164,219860.4587067164,-215427.7530890877,219860458.7067164,-9.798385501253698
2024-07-01,lightgbm_qi_ofi,market,50,0.0,5550.258410920898,0.0,0.0,5550.258410920898,219850080.70557386,0.2524565100503137
2024-07-01,lightgbm_qi_ofi,market,50,0.1,5550.258410920898,2198.5008070557387,2198.5008070557387,3351.7576038651596,219850080.70557386,0.1524565100503137
2024-07-01,lightgbm_qi_ofi,market,50,0.25,5550.258410920898,5496.252017639346,5496.252017639346,54.00639328155194,219850080.70557386,0.002456510050313696
2024-07-01,lightgbm_qi_ofi,market,50,0.5,5550.258410920898,10992.504035278693,10992.504035278693,-5442.245624357794,219850080.70557386,-0.2475434899496863
2024-07-01,lightgbm_qi_ofi,market,50,1.0,5550.258410920898,21985.008070557386,21985.008070557386,-16434.749659636487,219850080.70557386,-0.7475434899496863
2024-07-01,lightgbm_qi_ofi,market,50,2.0,5550.258410920898,43970.01614111477,43970.01614111477,-38419.75773019387,219850080.70557386,-1.7475434899496864
2024-07-01,lightgbm_qi_ofi,market,50,5.0,5550.258410920898,109925.04035278692,109925.04035278692,-104374.78194186602,219850080.70557386,-4.747543489949686
2024-07-01,lightgbm_qi_ofi,market,50,10.0,5550.258410920898,219850.08070557384,219850.08070557384,-214299.82229465293,219850080.70557386,-9.747543489949685
2024-07-01,qi_direct_baseline,market,0,0.0,5374.277072860903,0.0,0.0,5374.277072860903,142876210.0156418,0.3761491904266314
2024-07-01,qi_direct_baseline,market,0,0.1,5374.277072860903,1428.7621001564182,1428.7621001564182,3945.5149727044845,142876210.0156418,0.2761491904266314
2024-07-01,qi_direct_baseline,market,0,0.25,5374.277072860903,3571.9052503910452,3571.9052503910452,1802.3718224698578,142876210.0156418,0.1261491904266314
2024-07-01,qi_direct_baseline,market,0,0.5,5374.277072860903,7143.8105007820905,7143.8105007820905,-1769.5334279211875,142876210.0156418,-0.12385080957336861
2024-07-01,qi_direct_baseline,market,0,1.0,5374.277072860903,14287.621001564181,14287.621001564181,-8913.343928703278,142876210.0156418,-0.6238508095733686
2024-07-01,qi_direct_baseline,market,0,2.0,5374.277072860903,28575.242003128362,28575.242003128362,-23200.96493026746,142876210.0156418,-1.6238508095733686
