date,model,mode,latency_ms,fee_scenario,gross_pnl,maker_fees,taker_fees,total_fees,net_pnl,fee_burden_fraction_of_gross_pnl
2024-07-01,lightgbm_qi_ofi,market,0,market_2_00bps,5550.258410920898,0.0,43970.01614111477,43970.01614111477,-38419.75773019387,7.922156571052207
2024-07-01,lightgbm_qi_ofi,market,0,market_5_00bps,5550.258410920898,0.0,109925.04035278692,109925.04035278692,-104374.78194186602,19.805391427630514
2024-07-01,lightgbm_qi_ofi,market,0,market_10_00bps,5550.258410920898,0.0,219850.08070557384,219850.08070557384,-214299.82229465293,39.61078285526103
2024-07-01,lightgbm_qi_ofi,market,10,market_0_00bps,5550.258410920898,0.0,0.0,0.0,5550.258410920898,0.0
2024-07-01,lightgbm_qi_ofi,market,10,market_0_10bps,5550.258410920898,0.0,2198.5008070557387,2198.5008070557387,3351.7576038651596,0.39610782855261034
2024-07-01,lightgbm_qi_ofi,market,10,market_0_25bps,5550.258410920898,0.0,5496.252017639346,5496.252017639346,54.00639328155194,0.9902695713815258
2024-07-01,lightgbm_qi_ofi,market,10,market_0_50bps,5550.258410920898,0.0,10992.504035278693,10992.504035278693,-5442.245624357794,1.9805391427630517
2024-07-01,lightgbm_qi_ofi,market,10,market_1_00bps,5550.258410920898,0.0,21985.008070557386,21985.008070557386,-16434.749659636487,3.9610782855261033
2024-07-01,lightgbm_qi_ofi,market,10,market_2_00bps,5550.258410920898,0.0,43970.01614111477,43970.01614111477,-38419.75773019387,7.922156571052207
2024-07-01,lightgbm_qi_ofi,market,10,market_5_00bps,5550.258410920898,0.0,109925.04035278692,109925.04035278692,-104374.78194186602,19.805391427630514
2024-07-01,lightgbm_qi_ofi,market,10,market_10_00bps,5550.258410920898,0.0,219850.08070557384,219850.08070557384,-214299.82229465293,39.61078285526103
2024-07-01,lightgbm_qi_ofi,market,100,market_0_00bps,5323.436535794204,0.0,0.0,0.0,5323.436535794204,0.0
2024-07-01,lightgbm_qi_ofi,market,100,market_0_10bps,5323.436535794204,0.0,2197.9255292036055,2197.9255292036055,3125.5110065905988,0.4128771920966832
2024-07-01,lightgbm_qi_ofi,market,100,market_0_25bps,5323.436535794204,0.0,5494.813823009013,5494.813823009013,-171.37728721480835,1.0321929802417078
2024-07-01,lightgbm_qi_ofi,market,100,market_0_50bps,5323.436535794204,0.0,10989.627646018025,10989.627646018025,-5666.191110223821,2.0643859604834156
2024-07-01,lightgbm_qi_ofi,market,100,market_1_00bps,5323.436535794204,0.0,21979.25529203605,21979.25529203605,-16655.818756241846,4.128771920966831
2024-07-01,lightgbm_qi_ofi,market,100,market_2_00bps,5323.436535794204,0.0,43958.5105840721,43958.5105840721,-38635.07404827789,8.257543841933662
2024-07-01,lightgbm_qi_ofi,market,100,market_5_00bps,5323.436535794204,0.0,109896.27646018026,109896.27646018026,-104572.83992438606,20.64385960483416
2024-07-01,lightgbm_qi_ofi,market,100,market_10_00bps,5323.436535794204,0.0,219792.55292036053,219792.55292036053,-214469.11638456632,41.28771920966832
2024-07-01,lightgbm_qi_ofi,market,250,market_0_00bps,4432.70561762869,0.0,0.0,0.0,4432.70561762869,0.0
2024-07-01,lightgbm_qi_ofi,market,250,market_0_10bps,4432.70561762869,0.0,2198.604587067164,2198.604587067164,2234.1010305615255,0.49599607479535823
2024-07-01,lightgbm_qi_ofi,market,250,market_0_25bps,4432.70561762869,0.0,5496.5114676679095,5496.5114676679095,-1063.8058500392199,1.2399901869883954
2024-07-01,lightgbm_qi_ofi,market,250,market_0_50bps,4432.70561762869,0.0,10993.022935335819,10993.022935335819,-6560.317317707129,2.4799803739767907
2024-07-01,lightgbm_qi_ofi,market,250,market_1_00bps,4432.70561762869,0.0,21986.045870671638,21986.045870671638,-17553.34025304295,4.959960747953581
2024-07-01,lightgbm_qi_ofi,market,250,market_2_00bps,4432.70561762869,0.0,43972.091741343276,43972.091741343276,-39539.38612371459,9.919921495907163
2024-07-01,lightgbm_qi_ofi,market,250,market_5_00bps,4432.70561762869,0.0,109930.2293533582,109930.2293533582,-105497.52373572951,24.79980373976791
2024-07-01,lightgbm_qi_ofi,market,250,market_10_00bps,4432.70561762869,0.0,219860.4587067164,219860.4587067164,-215427.7530890877,49.59960747953582
2024-07-01,lightgbm_qi_ofi,market,50,market_0_00bps,5550.258410920898,0.0,0.0,0.0,5550.258410920898,0.0
2024-07-01,lightgbm_qi_ofi,market,50,market_0_10bps,5550.258410920898,0.0,2198.5008070557387,2198.5008070557387,3351.7576038651596,0.39610782855261034
2024-07-01,lightgbm_qi_ofi,market,50,market_0_25bps,5550.258410920898,0.0,5496.252017639346,5496.252017639346,54.00639328155194,0.9902695713815258
2024-07-01,lightgbm_qi_ofi,market,50,market_0_50bps,5550.258410920898,0.0,10992.504035278693,10992.504035278693,-5442.245624357794,1.9805391427630517
2024-07-01,lightgbm_qi_ofi,market,50,market_1_00bps,5550.258410920898,0.0,21985.008070557386,21985.008070557386,-16434.749659636487,3.9610782855261033
2024-07-01,lightgbm_qi_ofi,market,50,market_2_00bps,5550.258410920898,0.0,43970.01614111477,43970.01614111477,-38419.75773019387,7.922156571052207
2024-07-01,lightgbm_qi_ofi,market,50,market_5_00bps,5550.258410920898,0.0,109925.04035278692,109925.04035278692,-104374.78194186602,19.805391427630514
